"Home","Away","Field","Age.Group","Gender"
"Richmond United ECNL U16","NC Fusion ECNL U16","Ukrop Park - Turf Field 1","U16","Girls"
"Carolina Rapids ECNL U17","Carolina Elite Soccer Academy ECNL U17","Matthews Sportsplex - Field 1","U17","Girls"
"Richmond United ECNL U17","BRYC Elite Academy ECNL U17","West Creek - Field 10","U17","Girls"
"NC Fusion ECNL U17","Carolina Rapids ECNL U17","BBandT Soccer Park - Field 3","U17","Girls"
"NCFC Youth ECNL U17","Richmond United ECNL U17","WRAL Soccer Center - Accentuate Staffing","U17","Girls"
"BRYC Elite Academy ECNL U17","McLean YSA ECNL U17","Robinson High School - Upper Turf","U17","Girls"
"Carolina Elite Soccer Academy ECNL U17","South Carolina United ECNL U17","Mesa Complex - Field 5","U17","Girls"
"Carolina Rapids ECNL U17","South Carolina United ECNL U17","Matthews Sportsplex - Field 9","U17","Girls"
"Richmond United ECNL U17","McLean YSA ECNL U17","West Creek - Field 8","U17","Girls"
"Carolina Elite Soccer Academy ECNL U17","NC Fusion ECNL U17","Mesa Complex - Field 5","U17","Girls"
"NCFC Youth ECNL U17","BRYC Elite Academy ECNL U17","WRAL Soccer Center - Stadium","U17","Girls"
"BRYC Elite Academy ECNL U17","Richmond United ECNL U17","Robinson High School - Upper Turf","U17","Girls"
"Carolina Elite Soccer Academy ECNL U17","Carolina Rapids ECNL U17","Mesa Complex - Field 5","U17","Girls"
"NCFC Youth ECNL U17","McLean YSA ECNL U17","WRAL Soccer Center - Travers Lasik","U17","Girls"
"NC Fusion ECNL U17","South Carolina United ECNL U17","BP Field - BP 02 Triton Management","U17","Girls"
"McLean YSA ECNL U17","Carolina Rapids ECNL U17","Lewinsville Park - Field 2","U17","Girls"
"South Carolina United ECNL U17","NCFC Youth ECNL U17","SCUFC Monticello Road Complex - Stadium B","U17","Girls"
"BRYC Elite Academy ECNL U17","NC Fusion ECNL U17","Robinson High School - Upper Turf","U17","Girls"
"Carolina Elite Soccer Academy ECNL U17","Richmond United ECNL U17","Mesa Complex - Field 5","U17","Girls"
"McLean YSA ECNL U17","NC Fusion ECNL U17","Lewinsville Park - Field 2","U17","Girls"
"BRYC Elite Academy ECNL U17","Carolina Rapids ECNL U17","Robinson High School - Upper Turf","U17","Girls"
"South Carolina United ECNL U17","Richmond United ECNL U17","SCUFC Monticello Road Complex - Stadium B","U17","Girls"
"Carolina Elite Soccer Academy ECNL U17","NCFC Youth ECNL U17","Mesa Complex - Field 5","U17","Girls"
"BRYC Elite Academy ECNL U17","South Carolina United ECNL U17","Robinson High School - Upper Turf","U17","Girls"
"McLean YSA ECNL U17","Carolina Elite Soccer Academy ECNL U17","Lewinsville Park - Field 2","U17","Girls"
"NC Fusion ECNL U17","Richmond United ECNL U17","BBandT Soccer Park - Field 3","U17","Girls"
"McLean YSA ECNL U17","South Carolina United ECNL U17","Lewinsville Park - Field 2","U17","Girls"
"Carolina Rapids ECNL U17","Richmond United ECNL U17","Matthews Sportsplex - Field 9","U17","Girls"
"NC Fusion ECNL U17","NCFC Youth ECNL U17","BP Field - BP 08 Secret","U17","Girls"
"BRYC Elite Academy ECNL U17","Carolina Elite Soccer Academy ECNL U17","Robinson High School - Upper Turf","U17","Girls"
"BRYC Elite Academy ECNL U17","NCFC Youth ECNL U17","Woodson High School - Auxiliary Turf Field","U17","Girls"
"South Carolina United ECNL U17","Carolina Rapids ECNL U17","SCUFC Monticello Road Complex - Stadium B","U17","Girls"
"McLean YSA ECNL U17","Richmond United ECNL U17","Lewinsville Park - Field 2","U17","Girls"
"NC Fusion ECNL U17","Carolina Elite Soccer Academy ECNL U17","BP Field - BP 07","U17","Girls"
"Richmond United ECNL U17","Carolina Elite Soccer Academy ECNL U17","River City Sportsplex - Field 11","U17","Girls"
"Carolina Rapids ECNL U17","BRYC Elite Academy ECNL U17","Bailey Road Park - Field 2 (lower)","U17","Girls"
"NC Fusion ECNL U17","McLean YSA ECNL U17","BP Field - BP 03 Wrangler","U17","Girls"
"NCFC Youth ECNL U17","South Carolina United ECNL U17","Bryan Park - Field 11","U17","Girls"
"Carolina Rapids ECNL U17","McLean YSA ECNL U17","Ramblewood - Field 8","U17","Girls"
"NC Fusion ECNL U17","BRYC Elite Academy ECNL U17","BP Field - Field 4","U17","Girls"
"NCFC Youth ECNL U17","Carolina Elite Soccer Academy ECNL U17","Bryan Park - Field 10","U17","Girls"
"Richmond United ECNL U17","South Carolina United ECNL U17","River City Sportsplex - Field 11","U17","Girls"
"Carolina Rapids ECNL U17","NC Fusion ECNL U17","Bailey Road Park - Field 2 (lower)","U17","Girls"
"South Carolina United ECNL U17","Carolina Elite Soccer Academy ECNL U17","River Bluff High School Stadium - Stadium","U17","Girls"
"Richmond United ECNL U17","Carolina Rapids ECNL U17","Ukrop Park - Turf Field 2","U17","Girls"
"Carolina Elite Soccer Academy ECNL U17","BRYC Elite Academy ECNL U17","Mesa Complex - Field 5","U17","Girls"
"South Carolina United ECNL U17","McLean YSA ECNL U17","SCUFC Monticello Road Complex - Stadium B","U17","Girls"
"NCFC Youth ECNL U17","NC Fusion ECNL U17","WRAL Soccer Center - Travers Lasik","U17","Girls"
"NCFC Youth ECNL U17","Carolina Rapids ECNL U17","WRAL Soccer Center - Stadium","U17","Girls"
"South Carolina United ECNL U17","BRYC Elite Academy ECNL U17","SCUFC Monticello Road Complex - Stadium B","U17","Girls"
"Carolina Elite Soccer Academy ECNL U17","McLean YSA ECNL U17","Mesa Complex - Field 5","U17","Girls"
"Richmond United ECNL U17","NC Fusion ECNL U17","Ukrop Park - Turf Field 2","U17","Girls"
"Carolina Rapids ECNL U18/U19","Carolina Elite Soccer Academy ECNL U18/U19","Matthews Sportsplex - Field 1","U18","Girls"
"Richmond United ECNL U18/U19","BRYC Elite Academy ECNL U18/U19","West Creek - Field 10","U18","Girls"
"BRYC Elite Academy ECNL U18/U19","McLean YSA ECNL U18/U19","Robinson High School - Upper Turf","U18","Girls"
"NC Fusion ECNL U18/U19","Carolina Rapids ECNL U18/U19","BBandT Soccer Park - Field 1","U18","Girls"
"NCFC Youth ECNL U18/U19","Richmond United ECNL U18/U19","WRAL Soccer Center - Powerade #3","U18","Girls"
"Carolina Elite Soccer Academy ECNL U18/U19","South Carolina United ECNL U18/U19","Mesa Complex - Field 5","U18","Girls"
"Carolina Rapids ECNL U18/U19","South Carolina United ECNL U18/U19","Matthews Sportsplex - Field 9","U18","Girls"
"Richmond United ECNL U18/U19","McLean YSA ECNL U18/U19","West Creek - Field 10","U18","Girls"
"Carolina Elite Soccer Academy ECNL U18/U19","NC Fusion ECNL U18/U19","Mesa Complex - Field 5","U18","Girls"
"NCFC Youth ECNL U18/U19","BRYC Elite Academy ECNL U18/U19","WRAL Soccer Center - Stadium","U18","Girls"
"NCFC Youth ECNL U18/U19","McLean YSA ECNL U18/U19","WRAL Soccer Center - Stadium","U18","Girls"
"BRYC Elite Academy ECNL U18/U19","Richmond United ECNL U18/U19","Woodson High School - Auxiliary Turf Field","U18","Girls"
"Carolina Elite Soccer Academy ECNL U18/U19","Carolina Rapids ECNL U18/U19","Mesa Complex - Field 5","U18","Girls"
"NC Fusion ECNL U18/U19","South Carolina United ECNL U18/U19","BP Field - BP 02 Triton Management","U18","Girls"
"Carolina Elite Soccer Academy ECNL U18/U19","Richmond United ECNL U18/U19","Mesa Complex - Field 5","U18","Girls"
"McLean YSA ECNL U18/U19","Carolina Rapids ECNL U18/U19","Lewinsville Park - Field 2","U18","Girls"
"South Carolina United ECNL U18/U19","NCFC Youth ECNL U18/U19","SCUFC Monticello Road Complex - Stadium A","U18","Girls"
"BRYC Elite Academy ECNL U18/U19","NC Fusion ECNL U18/U19","Woodson High School - Auxiliary Turf Field","U18","Girls"
"Carolina Elite Soccer Academy ECNL U18/U19","NCFC Youth ECNL U18/U19","Mesa Complex - Field 5","U18","Girls"
"South Carolina United ECNL U18/U19","Richmond United ECNL U18/U19","SCUFC Monticello Road Complex - Stadium A","U18","Girls"
"McLean YSA ECNL U18/U19","NC Fusion ECNL U18/U19","Lewinsville Park - Field 2","U18","Girls"
"BRYC Elite Academy ECNL U18/U19","Carolina Rapids ECNL U18/U19","Robinson High School - Upper Turf","U18","Girls"
"NC Fusion ECNL U18/U19","Richmond United ECNL U18/U19","BBandT Soccer Park - Field 5","U18","Girls"
"McLean YSA ECNL U18/U19","Carolina Elite Soccer Academy ECNL U18/U19","Lewinsville Park - Field 2","U18","Girls"
"BRYC Elite Academy ECNL U18/U19","South Carolina United ECNL U18/U19","Robinson High School - Upper Turf","U18","Girls"
"Carolina Rapids ECNL U18/U19","NCFC Youth ECNL U18/U19","Ramblewood - Field 8","U18","Girls"
"Carolina Rapids ECNL U18/U19","Richmond United ECNL U18/U19","Matthews Sportsplex - Field 9","U18","Girls"
"BRYC Elite Academy ECNL U18/U19","Carolina Elite Soccer Academy ECNL U18/U19","Robinson High School - Upper Turf","U18","Girls"
"McLean YSA ECNL U18/U19","South Carolina United ECNL U18/U19","Spring Hill Rec Center - Field 5","U18","Girls"
"NC Fusion ECNL U18/U19","NCFC Youth ECNL U18/U19","BP Field - BP 07","U18","Girls"
"BRYC Elite Academy ECNL U18/U19","NCFC Youth ECNL U18/U19","Woodson High School - Auxiliary Turf Field","U18","Girls"
"South Carolina United ECNL U18/U19","Carolina Rapids ECNL U18/U19","SCUFC Monticello Road Complex - Stadium A","U18","Girls"
"McLean YSA ECNL U18/U19","Richmond United ECNL U18/U19","Lewinsville Park - Field 2","U18","Girls"
