GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US51041100701,51041100701,"Census Tract 1007.01, Chesterfield County, Virginia",57153,10945
1400000US51041100702,51041100702,"Census Tract 1007.02, Chesterfield County, Virginia",59167,6491
1400000US51041100703,51041100703,"Census Tract 1007.03, Chesterfield County, Virginia",81166,9687
1400000US51041100804,51041100804,"Census Tract 1008.04, Chesterfield County, Virginia",63378,11646
1400000US51041100805,51041100805,"Census Tract 1008.05, Chesterfield County, Virginia",59732,6959
1400000US51041100806,51041100806,"Census Tract 1008.06, Chesterfield County, Virginia",45915,5318
1400000US51041100807,51041100807,"Census Tract 1008.07, Chesterfield County, Virginia",58750,12909
1400000US51041100812,51041100812,"Census Tract 1008.12, Chesterfield County, Virginia",67536,8952
1400000US51041100814,51041100814,"Census Tract 1008.14, Chesterfield County, Virginia",58254,4897
1400000US51041100815,51041100815,"Census Tract 1008.15, Chesterfield County, Virginia",72147,15575
1400000US51041100816,51041100816,"Census Tract 1008.16, Chesterfield County, Virginia",66208,5210
1400000US51041100817,51041100817,"Census Tract 1008.17, Chesterfield County, Virginia",47685,7660
1400000US51041100818,51041100818,"Census Tract 1008.18, Chesterfield County, Virginia",80484,3263
1400000US51041100819,51041100819,"Census Tract 1008.19, Chesterfield County, Virginia",51765,9997
1400000US51041100820,51041100820,"Census Tract 1008.20, Chesterfield County, Virginia",57798,11481
1400000US51041100821,51041100821,"Census Tract 1008.21, Chesterfield County, Virginia",101094,8723
1400000US51041100822,51041100822,"Census Tract 1008.22, Chesterfield County, Virginia",105370,7524
1400000US51041100823,51041100823,"Census Tract 1008.23, Chesterfield County, Virginia",84630,6066
1400000US51041100902,51041100902,"Census Tract 1009.02, Chesterfield County, Virginia",95703,8424
1400000US51041100907,51041100907,"Census Tract 1009.07, Chesterfield County, Virginia",50972,13673
1400000US51041100910,51041100910,"Census Tract 1009.10, Chesterfield County, Virginia",65607,4925
1400000US51041100912,51041100912,"Census Tract 1009.12, Chesterfield County, Virginia",90041,6795
1400000US51041100915,51041100915,"Census Tract 1009.15, Chesterfield County, Virginia",59006,5820
