"Team","Age Group","Gender"
"Indiana Fire Academy U-12 Boys","U12","Boys"
"Indiana Fire Academy U-13 Boys","U13","Boys"
"Indiana Fire Academy U-14 Boys","U14","Boys"
"Indiana Fire Academy U-15 Boys","U15","Boys"
"Indiana Fire Academy U-16/17 Boys","U17","Boys"
"Indiana Fire Academy U-18/19 Boys","U19","Boys"
"Internationals U-12 Boys","U12","Boys"
"Internationals U-13 Boys","U13","Boys"
"Internationals U-14 Boys","U14","Boys"
"Internationals U-15 Boys","U15","Boys"
"Internationals U-16/17 Boys","U17","Boys"
"Internationals U-18/19 Boys","U19","Boys"
"ISL FC U-12 Boys","U12","Boys"
"ISL FC U-13 Boys","U13","Boys"
"ISL FC U-14 Boys","U14","Boys"
"Kendall SC U-12 Boys","U12","Boys"
"Kendall SC U-13 Boys","U13","Boys"
"Kendall SC U-14 Boys","U14","Boys"
"Kendall SC U-15 Boys","U15","Boys"
"Kendall SC U-16/17 Boys","U17","Boys"
"Kendall SC U-18/19 Boys","U19","Boys"
"LA Galaxy San Diego U-12 Boys","U12","Boys"
"LA Galaxy San Diego U-13 Boys","U13","Boys"
"LA Galaxy San Diego U-14 Boys","U14","Boys"
"LA Galaxy U-12 Boys","U12","Boys"
"LA Galaxy U-13 Boys","U13","Boys"
"LA Galaxy U-14 Boys","U14","Boys"
"LA Galaxy U-15 Boys","U15","Boys"
"LA Galaxy U-16/17 Boys","U17","Boys"
"LA Galaxy U-18/19 Boys","U19","Boys"
"Lanier Soccer Association U-12 Boys","U12","Boys"
"Lanier Soccer Association U-13 Boys","U13","Boys"
"Lanier Soccer Association U-14 Boys","U14","Boys"
"Legends FC U-12 Boys","U12","Boys"
"Lehigh Valley United U-12 Boys","U12","Boys"
"Lehigh Valley United U-13 Boys","U13","Boys"
"Lehigh Valley United U-14 Boys","U14","Boys"
"Lonestar SC Academy U-12 Boys","U12","Boys"
"Lonestar SC Academy U-13 Boys","U13","Boys"
"Lonestar SC Academy U-14 Boys","U14","Boys"
"Lonestar SC Academy U-15 Boys","U15","Boys"
"Lonestar SC Academy U-16/17 Boys","U17","Boys"
"Lonestar SC Academy U-18/19 Boys","U19","Boys"
"Los Angeles Football Club U-12 Boys","U12","Boys"
"Los Angeles Football Club U-13 Boys","U13","Boys"
"Los Angeles Football Club U-14 Boys","U14","Boys"
"Los Angeles Premier Futbol Club U-12 Boys","U12","Boys"
"Los Angeles United Futbol Academy U-12 Boys","U12","Boys"
"Los Angeles United Futbol Academy U-13 Boys","U13","Boys"
"Los Angeles United Futbol Academy U-14 Boys","U14","Boys"
"Los Angeles United Futbol Academy U-15 Boys","U15","Boys"
"Loudoun Soccer U-12 Boys","U12","Boys"
"Loudoun Soccer U-13 Boys","U13","Boys"
"Loudoun Soccer U-14 Boys","U14","Boys"
"Marin FC Alliance U-12 Boys","U12","Boys"
"Marin FC Alliance U-13 Boys","U13","Boys"
"Marin FC Alliance U-14 Boys","U14","Boys"
"McLean Youth Soccer U-12 Boys","U12","Boys"
"Met Oval U-12 Boys","U12","Boys"
"Met Oval U-13 Boys","U13","Boys"
"Met Oval U-14 Boys","U14","Boys"
"Minnesota Thunder Academy U-13 Boys","U13","Boys"
"Minnesota Thunder Academy U-14 Boys","U14","Boys"
"Minnesota Thunder Academy U-15 Boys","U15","Boys"
"Minnesota Thunder Academy U-16/17 Boys","U17","Boys"
"Minnesota Thunder Academy U-18/19 Boys","U19","Boys"
"Minnesota United FC U-13 Boys","U13","Boys"
"Minnesota United FC U-14 Boys","U14","Boys"
"Montreal Impact FC U-15 Boys","U15","Boys"
"Montreal Impact FC U-16/17 Boys","U17","Boys"
"Montreal Impact FC U-18/19 Boys","U19","Boys"
"Murrieta Surf Soccer Club U-12 Boys","U12","Boys"
"Mustang Soccer Club U-12 Boys","U12","Boys"
"NEFC U-12 Boys","U12","Boys"
"NEFC U-13 Boys","U13","Boys"
"NEFC U-14 Boys","U14","Boys"
"New England Revolution U-13 Boys","U13","Boys"
"New England Revolution U-14 Boys","U14","Boys"
