"GEOID","White.Percent","Minority.Percent","Black.Percent","American.Indian.Percent","Asian.Percent","Pacific.Islander.Percent","Hispanic.Percent","Poverty.Rate","Household.Income","HHI.Factor"
"51019030503",94.6259673258813,5.37403267411866,1.03181427343078,0.429922613929493,0,0,1.54772141014617,8.3,58542,"$50,000-74,999"
"51019030504",93.1809523809524,6.81904761904763,5.44761904761905,0,0,0,0.571428571428571,4.4,54122,"$50,000-74,999"
"51019030601",90.5100463678516,9.48995363214837,4.14219474497682,0,0,0.216383307573416,3.58578052550232,5.5,55313,"$50,000-74,999"
"51019030602",96.2552742616034,3.74472573839663,0.0791139240506329,0.55379746835443,0,0.237341772151899,0.791139240506329,14.2,50185,"$50,000-74,999"
"51019030603",91.9984387197502,8.0015612802498,1.01483216237315,0,1.63934426229508,0,3.62997658079625,3.1,48833,"$25,000-49,999"
"51019030604",96.5045045045045,3.49549549549549,0,0,2.09009009009009,0,1.40540540540541,14.2,45476,"$25,000-49,999"
"51019030605",96.2270133164236,3.77298668357641,2.82181357006975,0,0.0634115409004439,0,0.887761572606214,14.3,51933,"$50,000-74,999"
"51019050100",75.9015091342335,24.0984908657665,21.4138204924543,0,0.206513105639396,0.079428117553614,1.01667990468626,33.7,39925,"$25,000-49,999"
"51021040100",91.3188220230474,8.68117797695263,7.27272727272727,0,0.0768245838668374,0.102432778489117,0.819462227912932,20.4,44575,"$25,000-49,999"
"51021040200",99.1872922053934,0.812707794606571,0.073882526782416,0,0,0,0.258588843738456,0,49406,"$25,000-49,999"
"51023040100",93.3853264009243,6.61467359907568,5.57481224725592,0.375505488157135,0,0,0.664355863662623,26,47833,"$25,000-49,999"
"51023040200",95.0980392156863,4.90196078431373,3.01120448179272,0.210084033613445,0,0,0.233426704014939,5.3,48710,"$25,000-49,999"
"51023040301",92.1935483870968,7.80645161290323,5.19354838709677,0,0.580645161290323,0,0.580645161290323,14.6,63955,"$50,000-74,999"
"51023040302",96.1466416911961,3.85335830880386,2.15413433235215,0.12041744715012,0,0,0.789403264650789,7.9,81382,"$75,000-99,999"
"51023040401",92.0485175202156,7.95148247978437,2.20125786163522,0.224618149146451,0.628930817610063,0,2.51572327044025,11.6,54464,"$50,000-74,999"
"51023040402",84.1266598569969,15.8733401430031,2.73748723186925,0,4.02451481103166,0,6.45556690500511,17.6,54403,"$50,000-74,999"
"51023040501",96.742671009772,3.25732899022801,1.48906468124709,0.713510159764231,0,0,0,5.6,77750,"$75,000-99,999"
"51023040502",90.4141104294479,9.58588957055214,4.52453987730061,0,0.766871165644172,0,0,0,50272,"$50,000-74,999"
"51025930100",39.1154508902929,60.8845491097071,55.3704767375072,1.20620333141872,0,0,0.430786904078116,20.7,38935,"$25,000-49,999"
"51025930201",36.6350710900474,63.3649289099526,56.1137440758294,0,5.54502369668246,0,1.32701421800948,11.6,41806,"$25,000-49,999"
"51025930202",23.348300192431,76.6516998075689,69.7241821680564,0,0,0,4.61834509300834,,,
"51025930203",33.2162921348315,66.7837078651685,60.5102996254682,0,0,0,4.79868913857678,43.8,32404,"$25,000-49,999"
"51025930300",55.4174757281553,44.5825242718447,44.4077669902913,0,0,0,0.174757281553398,18.8,39505,"$25,000-49,999"
"51027010100",95.2524816573155,4.74751834268451,3.81959430297799,0,0.431592576607682,0,0.496331463098835,44.8,23471,"Under $25,000"
