"TeamID","Age.Group","Gender","LeagueID","TotalCost","CoachPaid","TotalGames","TotalTime","TotalDistance","AwayGames","WeightedCost","WeightedTime","WeightedDistance","LeagueTier"
"51021101","U12","Boys","LG0004",2250,"TRUE",9,234.433333333333,183.188926668257,3,1000,313,244,"Tier 2"
"51021102","U12","Boys","LG0013",2250,"TRUE",8,324.933333333333,224.803398154776,5,1125,260,180,"Tier 3"
"51021103","U11","Girls","LG0004",2250,"TRUE",9,234.433333333333,183.188926668257,3,1000,313,244,"Tier 2"
"51021104","U11","Girls","LG0013",2250,"TRUE",8,324.933333333333,224.803398154776,5,1125,260,180,"Tier 3"
"51021105","U11","Boys","LG0004",2250,"TRUE",9,234.433333333333,183.188926668257,3,1000,313,244,"Tier 2"
"51021106","U11","Boys","LG0013",2250,"TRUE",8,324.933333333333,224.803398154776,5,1125,260,180,"Tier 3"
"51025001","U10","Boys","LG0003",600,"TRUE",8,536.9,377.839666348525,4,300,537,378,"Tier 4"
"51025002","U11","Girls","LG0003",950,"TRUE",8,579,421.658762825101,4,475,579,422,"Tier 4"
"51025003","U14","Boys","LG0003",1100,"TRUE",9,921.5,699.263799411437,6,488.89,614,466,"Tier 4"
"51025004","U12","Girls","LG0003",950,"TRUE",8,652.733333333333,498.456513958483,4,475,653,498,"Tier 4"
"51025005","U18","Boys","LG0005",1100,"TRUE",9,602.533333333333,467.984470691164,4,488.89,603,468,"Tier 4"
"51025006","U18","Girls","LG0005",1100,"TRUE",9,731.366666666667,543.346854370476,5,488.89,585,435,"Tier 4"
"51025007","U16","Boys","LG0005",1100,"TRUE",9,608.266666666667,457.013540921021,4,488.89,608,457,"Tier 4"
"51025008","U15","Boys","LG0005",1100,"TRUE",9,784.4,613.86875646226,4,488.89,784,614,"Tier 4"
"51025009","U15","Girls","LG0005",1100,"TRUE",9,666.133333333333,506.494571701265,4,488.89,666,506,"Tier 4"
"51025010","U14","Girls","LG0005",1100,"TRUE",9,615.7,470.329525570667,4,488.89,616,470,"Tier 4"
"51025011","U13","Boys","LG0005",1100,"TRUE",9,518.666666666667,422.903990694345,3,488.89,692,564,"Tier 4"
"51025012","U13","Girls","LG0005",1100,"TRUE",9,711.433333333333,558.137974230494,4,488.89,711,558,"Tier 4"
"51025013","U12","Boys","LG0005",950,"TRUE",9,898.5,745.828113815319,5,422.22,719,597,"Tier 4"
"51025014","U12","Boys","LG0005",950,"TRUE",9,547.633333333333,380.330122087012,3,422.22,730,507,"Tier 4"
"51025015","U19","Boys","LG0005",1100,"TRUE",9,732.466666666667,571.369452397996,4,488.89,732,571,"Tier 4"
"51031001","U19","Boys","LG0003",995,"TRUE",8,501.066666666667,443.360773085183,4,497.5,501,443,"Tier 4"
"51031035","U19","Boys","LG0005",995,"TRUE",9,604.766666666667,498.548476894934,4,442.22,605,499,"Tier 4"
"51031036","U19","Girls","LG0004",1895,"TRUE",10,381.066666666667,374.130080330868,1,758,1524,1497,"Tier 2"
"51031037","U19","Boys","LG0004",1895,"TRUE",7,1001.53333333333,948.161486916408,4,1082.86,1002,948,"Tier 2"
"51031038","U18","Girls","LG0004",1895,"TRUE",7,869.4,819.151157241708,3,1082.86,1159,1092,"Tier 2"
"51031039","U18","Boys","LG0004",1895,"TRUE",7,488.333333333333,445.021076910841,2,1082.86,977,890,"Tier 2"
"51031040","U17","Girls","LG0004",1895,"TRUE",8,1001.53333333333,948.161486916408,4,947.5,1002,948,"Tier 2"
"51031041","U17","Boys","LG0004",1895,"TRUE",7,1001.53333333333,948.161486916408,4,1082.86,1002,948,"Tier 2"
"51031042","U16","Girls","LG0004",1895,"TRUE",8,1001.53333333333,948.161486916408,4,947.5,1002,948,"Tier 2"
"51031043","U16","Boys","LG0004",1895,"TRUE",13,381.066666666667,374.130080330868,1,583.08,1524,1497,"Tier 2"
"51031045","U15","Girls","LG0004",1895,"TRUE",8,981.933333333333,926.893193748509,4,947.5,982,927,"Tier 2"
"51031046","U15","Girls","LG0013",1515,"TRUE",8,379.933333333333,330.860275988229,3,757.5,507,441,"Tier 3"
"51031047","U15","Boys","LG0004",1895,"TRUE",8,981.933333333333,926.893193748509,4,947.5,982,927,"Tier 2"
"51031049","U14","Girls","LG0004",1895,"TRUE",8,981.933333333333,926.893193748509,4,947.5,982,927,"Tier 2"
"51031050","U14","Girls","LG0013",1515,"TRUE",8,445.333333333333,412.431400620377,3,757.5,594,550,"Tier 3"
"51031051","U14","Boys","LG0004",1895,"TRUE",8,981.933333333333,926.893193748509,4,947.5,982,927,"Tier 2"
"51031052","U14","Boys","LG0013",1515,"TRUE",8,577.5,529.165921021236,4,757.5,578,529,"Tier 3"
"51031053","U13","Girls","LG0004",1895,"TRUE",8,981.933333333333,926.893193748509,4,947.5,982,927,"Tier 2"
"51031054","U13","Girls","LG0013",1545,"TRUE",8,577.5,529.165921021236,4,772.5,578,529,"Tier 3"
"51031055","U13","Boys","LG0004",1895,"TRUE",8,981.933333333333,926.893193748509,4,947.5,982,927,"Tier 2"
"51031056","U13","Boys","LG0013",1545,"TRUE",8,597.633333333333,539.679521593892,4,772.5,598,540,"Tier 3"
"51031057","U12","Girls","LG0004",1795,"TRUE",8,980.3,926.141334605902,4,897.5,980,926,"Tier 2"
"51031058","U12","Girls","LG0013",1545,"TRUE",8,615.3,550.49386582359,4,772.5,615,550,"Tier 3"
"51031059","U12","Boys","LG0004",1795,"TRUE",8,980.3,926.141334605902,4,897.5,980,926,"Tier 2"
"51031060","U12","Boys","LG0013",1545,"TRUE",8,615.3,550.49386582359,4,772.5,615,550,"Tier 3"
"51031061","U11","Girls","LG0004",1795,"TRUE",8,980.3,926.141334605902,4,897.5,980,926,"Tier 2"
"51031063","U11","Boys","LG0004",1795,"TRUE",8,980.3,926.141334605902,4,897.5,980,926,"Tier 2"
"51031065","U10","Girls","LG0004",1795,"TRUE",5,243.6,225.90695339219,2,1436,487,452,"Tier 2"
"51031066","U10","Boys","LG0004",1795,"TRUE",8,487.2,451.813906784379,4,897.5,487,452,"Tier 2"
"51032004","U10","Boys","LG0005",975,"TRUE",9,677.633333333333,610.666209337469,5,433.33,542,489,"Tier 4"
"51032005","U11","Boys","LG0005",975,"TRUE",9,691.766666666667,675.667849757417,4,433.33,692,676,"Tier 4"
"51032006","U12","Boys","LG0005",975,"TRUE",9,729.333333333333,694.235663723853,5,433.33,583,555,"Tier 4"
"51032007","U14","Boys","LG0005",1075,"TRUE",9,613.4,573.103078024338,4,477.78,613,573,"Tier 4"
"51032008","U14","Girls","LG0005",1075,"TRUE",9,583.933333333333,513.557076672234,4,477.78,584,514,"Tier 4"
