"Home","Away","Age Group","Gender","Field"
"CALV Ponce Eagles 2006 U12 Boys NCSL","HERN Estudiantes Black U12 Boys NCSL","U12","Boys","William Tyler Page ES #1"
"CALV Cassa River U17 Boys NCSL","MRM Silver Spring Strikers 01B U17 Boys NCSL","U17","Boys","Fairland Rec Park #5 TURF"
"CALV CSA 2001 U17 Boys NCSL","GRFL 01B Blue U17 Boys NCSL","U17","Boys","Fairland Rec Park #5 TURF"
"CALV Eagles  Selectos U17 Boys NCSL","FWSA ES Firpo U17 Boys NCSL","U17","Boys","Fairland Rec Park #5 TURF"
"CALV CSA 2004 U14 Boys NCSL","OLNY Rangers Blue U14 Boys NCSL","U14","Boys","Fairland Rec Park #5 TURF"
"CALV Eagles  Selectos U17 Boys NCSL","ARL 01B White U17 Boys NCSL","U17","Boys","Fairland Aquatic Center soccer field"
"CALV CSA 2007 Red U11 Boys NCSL","BSC Bulldogs U11 Boys NCSL","U11","Boys","William Tyler Page ES #1"
"CALV CSA 2006 U12 Boys NCSL","MSI Academy 06 White U12 Boys NCSL","U12","Boys","William Tyler Page ES #1"
"CALV Ponce Eagles 2009 U09 Boys NCSL","PWSI Boys 2009 Swoosh U09 Boys NCSL","U09","Boys","William Tyler Page ES #1"
"CALV CSA 2009 U09 Boys NCSL","PWSI Boys 2009 Nike U09 Boys NCSL","U09","Boys","William Tyler Page ES #1"
"CALV MD International 2006 U12 Boys NCSL","TAPK Takoma Dreamers Juventus U12 Boys NCSL","U12","Boys","William Tyler Page ES #1"
"CALV EAGLES UNITED 00 U18 Boys NCSL","SMS Dynamo Classic U18 Boys NCSL","U18","Boys","Fairland Aquatic Center soccer field"
"CALV Ponce Eagles 2006 U12 Boys NCSL","RUSH Academy Blue 06B U12 Boys NCSL","U12","Boys","William Tyler Page ES #1"
"CFC 08G Red U10 Girls NCSL","VYS '08G White U10 Girls NCSL","U10","Girls","Watkins Elementary School � DC #1"
"CFC 03G Red U15 Girls NCSL","CSA INFERNO 03G U15 Girls NCSL","U15","Girls","Randall Recreation Center #1 Full"
"CFC 03B Red U15 Boys NCSL","TAFC Team America Spartans 2003 U15 Boys NCSL","U15","Boys","Randall Recreation Center #1 Full"
"CFC 06G Red U12 Girls NCSL","MSI Academy Green U12 Girls NCSL","U12","Girls","Watkins Elementary School � DC #1"
"CFC 09B Red U09 Boys NCSL","WIN United 09B Blue U09 Boys NCSL","U09","Boys","Watkins Elementary School � DC #1"
"CFC 06B Red (Red Stars) U12 Boys NCSL","FPYC United Gold 06 U12 Boys NCSL","U12","Boys","Watkins Elementary School � DC #1"
"CFC 03G Red U15 Girls NCSL","CPSA CSC Comets 03G U15 Girls NCSL","U15","Girls","Randall Recreation Center #1 Full"
"CFC 04B Red U14 Boys NCSL","SEVP Surge U14 Boys NCSL","U14","Boys","Randall Recreation Center #1 Full"
"CFC 06B Red (Red Stars) U12 Boys NCSL","DCST White Metros U12 Boys NCSL","U12","Boys","Watkins Elementary School � DC #1"
"CFC 02B Red U16 Boys NCSL","LFC Alliance U16 Boys NCSL","U16","Boys","Randall Recreation Center #1 Full"
"CFC 01B Red U17 Boys NCSL","ALEX 01 Boys Red U17 Boys NCSL","U17","Boys","Randall Recreation Center #1 Full"
"CFC 06G Red U12 Girls NCSL","AUSC 06G Black U12 Girls NCSL","U12","Girls","Watkins Elementary School � DC #1"
"CFC 08G Red U10 Girls NCSL","SYC Pride 08 Black U10 Girls NCSL","U10","Girls","Watkins Elementary School � DC #1"
"CFC 09B Red U09 Boys NCSL","GRFL 09B Lazio U09 Boys NCSL","U09","Boys","Watkins Elementary School � DC #1"
"CFC 03B Red U15 Boys NCSL","CYA 03B Black U15 Boys NCSL","U15","Boys","Randall Recreation Center #1 Full"
"CFC 06B Red (Red Stars) U12 Boys NCSL","GSC United Red 06 U12 Boys NCSL","U12","Boys",NA
"CFC 03G Red U15 Girls NCSL","FCVA Premier U15 Girls NCSL","U15","Girls","Randall Recreation Center #1 Full"
"CFC 04B Red U14 Boys NCSL","CYA 04B Gold U14 Boys NCSL","U14","Boys","Randall Recreation Center #1 Full"
"CFC 05B White U13 Boys NCSL","FTSC Future Monarchs Gold '05B U13 Boys NCSL","U13","Boys","Randall Recreation Center #1 Full"
"CFC 08G Red U10 Girls NCSL","GSC Spirit Red 08 U10 Girls NCSL","U10","Girls","Watkins Elementary School � DC #1"
"CFC 07G Red Stars U11 Girls NCSL","FPYC Blue Flames 07 U11 Girls NCSL","U11","Girls","Watkins Elementary School � DC #1"
"CFC 06B Red (Red Stars) U12 Boys NCSL","VYS 06B Black U12 Boys NCSL","U12","Boys","Watkins Elementary School � DC #1"
"CFC 01B Red U17 Boys NCSL","ASA DMV United 01 U17 Boys NCSL","U17","Boys","Randall Recreation Center #1 Full"
"CFC 06G Red U12 Girls NCSL","ALEX 06 Girls Blue U12 Girls NCSL","U12","Girls","Watkins Elementary School � DC #1"
"CFC 07G Red Stars U11 Girls NCSL","TAPK Takoma Pink Panthers U11 Girls NCSL","U11","Girls","Watkins Elementary School � DC #1"
"CFC 03B Red U15 Boys NCSL","VSA 03B Academy Select U15 Boys NCSL","U15","Boys","Randall Recreation Center #1 Full"
"CFC 02B Red U16 Boys NCSL","ODFC Cesena '02 Black U16 Boys NCSL","U16","Boys","Randall Recreation Center #1 Full"
"CFC 05B White U13 Boys NCSL","LMVS Patriots 2005 Blue U13 Boys NCSL","U13","Boys","Randall Recreation Center #1 Full"
"CFC 03G Red U15 Girls NCSL","GRFL 03G Blue Blaze U15 Girls NCSL","U15","Girls","Randall Recreation Center #1 Full"
"CFC 06B Red (Red Stars) U12 Boys NCSL","PAC Elite 06 Navy U12 Boys NCSL","U12","Boys","Watkins Elementary School � DC #1"
"CFC 07G Red Stars U11 Girls NCSL","ASA Tigresse 07 U11 Girls NCSL","U11","Girls","Watkins Elementary School � DC #1"
"CFC 05B White U13 Boys NCSL","SEVP Premier White B05 U13 Boys NCSL","U13","Boys","Randall Recreation Center #1 Full"
"CFC 02B Red U16 Boys NCSL","MCLN 2002 Boys Gold U16 Boys NCSL","U16","Boys","Randall Recreation Center #1 Full"
"CFC 01B Red U17 Boys NCSL","GRFL 01B Blue Omega U17 Boys NCSL","U17","Boys","Randall Recreation Center #1 Full"
"CFC 02B Red U16 Boys NCSL","LOUD 02B White U16 Boys NCSL","U16","Boys","Randall Recreation Center #1 Full"
"CFC 03B Red U15 Boys NCSL","FRED FC Frederick '03 Royal II U15 Boys NCSL","U15","Boys","Randall Recreation Center #1 Full"
"CFC 09B Red U09 Boys NCSL","CYA 09B Gold U09 Boys NCSL","U09","Boys","Watkins Elementary School � DC #1"
"CFC 07G Red Stars U11 Girls NCSL","CYA 07G Gold U11 Girls NCSL","U11","Girls","Watkins Elementary School � DC #1"
"CFC 01B Red U17 Boys NCSL","HERN FC Munich U17 Boys NCSL","U17","Boys","Randall Recreation Center #1 Full"
"CFC 07G Red Stars U11 Girls NCSL","GSC Spirit Red 07 U11 Girls NCSL","U11","Girls","Watkins Elementary School � DC #1"
"CFC 02B Red U16 Boys NCSL","HERN Argentinos Red U16 Boys NCSL","U16","Boys","Randall Recreation Center #1 Full"
"CFC 03G Red U15 Girls NCSL","SAC United White U15 Girls NCSL","U15","Girls","Randall Recreation Center #1 Full"
"CFC 05B White U13 Boys NCSL","TAFC Team America Academy 2005 U13 Boys NCSL","U13","Boys","Randall Recreation Center #1 Full"
"CFC 09B Red U09 Boys NCSL","HERN Atletico RED U09 Boys NCSL","U09","Boys","Watkins Elementary School � DC #1"
"CFC 03B Red U15 Boys NCSL","LMVS Patriots 2003 Blue U15 Boys NCSL","U15","Boys","Randall Recreation Center #1 Full"
"CFC 06G Red U12 Girls NCSL","HERN Lightning Silver U12 Girls NCSL","U12","Girls","Watkins Elementary School � DC #1"
"CFC 08G Red U10 Girls NCSL","TCSC 08 Fusion U10 Girls NCSL","U10","Girls","Watkins Elementary School � DC #1"
"CHAN Spirit 03 Academy U15 Girls NCSL","POT Black 03 U15 Girls NCSL","U15","Girls","Fred Crabtree"
"CHAN Spirit Blue 00 U18 Girls NCSL","LOUD 00G Black U18 Girls NCSL","U18","Girls","Poplar Tree Park #2"
"CHAN Spirit 02 Academy U16 Girls NCSL","LOUD 02G White U16 Girls NCSL","U16","Girls","Poplar Tree Park #2"
"CHAN Internationals 00 U18 Girls NCSL","SYC Pride 00 Orange U18 Girls NCSL","U18","Girls","Poplar Tree Park #2"
"CHAN Rowdies 01 U17 Boys NCSL","WBSC Strikers 01B White U17 Boys NCSL","U17","Boys","Poplar Tree Park #2"
"CHAN United 03 U15 Boys NCSL","LOUD 03B Silver U15 Boys NCSL","U15","Boys","Poplar Tree Park #2"
"CHAN United 03 U15 Boys NCSL","ABGC Annandale United FC 03 Red U15 Boys NCSL","U15","Boys","Fred Crabtree"
"CHAN Spirit 03 Academy U15 Girls NCSL","A3 Storm U15 Girls NCSL","U15","Girls","Poplar Tree Park #2"
"CHAN Spirit 02 Academy U16 Girls NCSL","NVSC Hybrid 02G U16 Girls NCSL","U16","Girls","Poplar Tree Park #2"
"CHAN Internationals 00 U18 Girls NCSL","HERN Attack U18 Girls NCSL","U18","Girls","Poplar Tree Park #2"
"CHAN United 03 U15 Boys NCSL","WSC Vipers F.C U15 Boys NCSL","U15","Boys","Poplar Tree Park #2"
"CHAN Rowdies 01 U17 Boys NCSL","TAFC Team America 2001 Wisterman USA U17 Boys NCSL","U17","Boys","Poplar Tree Park #2"
"CHAN Spirit 02 Academy U16 Girls NCSL","WBSC Strikers 02G White U16 Girls NCSL","U16","Girls","Fred Crabtree"
"CHAN Spirit Red 03 U15 Girls NCSL","LMVS Patriots 2003 Blue U15 Girls NCSL","U15","Girls","Fred Crabtree"
"CHAN Force 04 U14 Boys NCSL","EPIC 04B Timbers Black U14 Boys NCSL","U14","Boys","Fred Crabtree"
"CHAN Internationals 00 U18 Girls NCSL","FPYC Blue Flame 00 U18 Girls NCSL","U18","Girls","Fred Crabtree"
"CHAN Force 04 U14 Boys NCSL","AUSC 2004 Barone U14 Boys NCSL","U14","Boys","Poplar Tree Park #2"
"CHAN Spirit 02 Academy U16 Girls NCSL","STAF Revolution 01G White U16 Girls NCSL","U16","Girls","Poplar Tree Park #2"
"CHAN Spirit Red 03 U15 Girls NCSL","LMVS Patriots 2003 Blue U15 Girls NCSL","U15","Girls","Poplar Tree Park #2"
"CHAN Rowdies 01 U17 Boys NCSL","STER FC Elite White '01 International U17 Boys NCSL","U17","Boys","Poplar Tree Park #2"
"CHAN Force 04 U14 Boys NCSL","NVSC Hybrid 04B U14 Boys NCSL","U14","Boys","Poplar Tree Park #2"
"CHAN Spirit 03 Academy U15 Girls NCSL","POT Gray Dragons 03 U15 Girls NCSL","U15","Girls","Poplar Tree Park #2"
"CHAN Internationals 00 U18 Girls NCSL","OLNY Rage U18 Girls NCSL","U18","Girls","Fred Crabtree"
"CHAN Force 04 U14 Boys NCSL","CSA Cobras 04B U14 Boys NCSL","U14","Boys","Fred Crabtree"
"CHAN Spirit Blue 00 U18 Girls NCSL","CYA 00G Purple U18 Girls NCSL","U18","Girls","Fred Crabtree"
"CHAN Spirit 03 Academy U15 Girls NCSL","AUSC Antietam United G03 U15 Girls NCSL","U15","Girls","Poplar Tree Park #2"
"CHAN United 03 U15 Boys NCSL","ABGC Annandale United FC 03 Red U15 Boys NCSL","U15","Boys","Poplar Tree Park #2"
"CHAN Rowdies 01 U17 Boys NCSL","ABGC AUFC 01 United U17 Boys NCSL","U17","Boys","Poplar Tree Park #2"
"CHAN Spirit 03 Academy U15 Girls NCSL","HERN Hurricanes White U15 Girls NCSL","U15","Girls","Fred Crabtree"
"CHAN Spirit Blue 00 U18 Girls NCSL","FSCI Phoenix Orange U18 Girls U18 Girls NCSL","U18","Girls","Poplar Tree Park #2"
"CHAN Rowdies 01 U17 Boys NCSL","SMS Rampage U17 Boys NCSL","U17","Boys","Poplar Tree Park #2"
"CHAN Spirit Red 03 U15 Girls NCSL","VIST Freedom FC 03 U15 Girls NCSL","U15","Girls","Poplar Tree Park #2"
"CHAN Internationals 00 U18 Girls NCSL","MRM Rush '00G U18 Girls NCSL","U18","Girls","Poplar Tree Park #2"
"CHAN Rowdies 01 U17 Boys NCSL","LMVS Patriots 2001 White U17 Boys NCSL","U17","Boys","Fred Crabtree"
"CHAN Spirit Red 03 U15 Girls NCSL","SYC Pride 03 White U15 Girls NCSL","U15","Girls","Poplar Tree Park #2"
"CHAN Spirit Blue 00 U18 Girls NCSL","CPSA CSC Comets 00G U18 Girls NCSL","U18","Girls","Poplar Tree Park #2"
"CHAN Spirit Red 03 U15 Girls NCSL","A3 Lightning U15 Girls NCSL","U15","Girls","Poplar Tree Park #2"
"CHAN United 03 U15 Boys NCSL","BRYC Elite Academy U15 Silver U15 Boys NCSL","U15","Boys","Poplar Tree Park #2"
"CHAN Spirit Blue 00 U18 Girls NCSL","HERN Saints FC U18 Girls NCSL","U18","Girls","Poplar Tree Park #2"
"CHAN Force 04 U14 Boys NCSL","SMS United Classic 2004 U14 Boys NCSL","U14","Boys","Poplar Tree Park #2"
"CPSA CSC Comets 04G U14 Girls NCSL","DCST White Metros U14 Girls NCSL","U14","Girls","Culpeper Complex #4"
"CPSA CSC Comets 05G U13 Girls NCSL","LOUD 05G Silver U13 Girls NCSL","U13","Girls","Culpeper Complex #4"
"CPSA CSC Comets 03B U15 Boys NCSL","TAPK Takoma United Blue U15 Boys NCSL","U15","Boys","Culpeper Complex #4"
"CPSA CSC Comets 03G U15 Girls NCSL","SAC United White U15 Girls NCSL","U15","Girls","Culpeper Complex #4"
"CPSA CSC Comets 04G U14 Girls NCSL","VYS Fire Black U14 Girls NCSL","U14","Girls","Culpeper Complex #4"
"CPSA CSC Comets 05B U13 Boys NCSL","SEVP Premier White B05 U13 Boys NCSL","U13","Boys","Culpeper Complex #3"
"CPSA CSC Comets 00G U18 Girls NCSL","LAPL Knights U18 Girls NCSL","U18","Girls","Culpeper Complex #3"
"CPSA CSC Comets 03G U15 Girls NCSL","FCVA Premier U15 Girls NCSL","U15","Girls","Culpeper Complex #3"
"CPSA CSC Comets 03B U15 Boys NCSL","MRM Rush Gray '03B U15 Boys NCSL","U15","Boys","Culpeper Complex #3"
"CPSA CSC Comets 04G U14 Girls NCSL","EPIC 04G Force Black U14 Girls NCSL","U14","Girls","Culpeper Complex #3"
"CPSA CSC Comets 06B RED U12 Boys NCSL","LMVS Patriots 2006 NCSL Blue U12 Boys NCSL","U12","Boys","Culpeper Complex #1"
"CPSA CSC Comets 05B U13 Boys NCSL","CFC 05B White U13 Boys NCSL","U13","Boys","Culpeper Complex #4"
"CPSA CSC Comets 02B U16 Boys NCSL","STAF Revolution 02B White U16 Boys NCSL","U16","Boys","Culpeper Complex #3"
"CPSA CSC Comets 03G U15 Girls NCSL","CSA INFERNO 03G U15 Girls NCSL","U15","Girls","Culpeper Complex #3"
"CPSA CSC Comets 06B RED U12 Boys NCSL","BETH Green 06 U12 Boys NCSL","U12","Boys","Culpeper Complex #1"
"CPSA CSC Comets 99B U19 Boys NCSL","BAC United U19 Boys NCSL","U19","Boys","Culpeper Complex #3"
"CPSA CSC Comets 06B SILVER U12 Boys NCSL","ODFC Cesena '06 U12 Boys NCSL","U12","Boys","Culpeper Complex #1"
"CPSA CSC Comets 00G U18 Girls NCSL","FSCI Phoenix Orange U18 Girls U18 Girls NCSL","U18","Girls","Culpeper Complex #3"
"CPSA CSC Comets 05G U13 Girls NCSL","LFC Legends U13 Girls NCSL","U13","Girls","Culpeper Complex #4"
"CPSA CSC Comets 02B U16 Boys NCSL","ODFC Cesena '02 White U16 Boys NCSL","U16","Boys","Culpeper Complex #3"
"CPSA CSC Comets 05B U13 Boys NCSL","LMVS Patriots 2005 Blue U13 Boys NCSL","U13","Boys","Culpeper Complex #4"
"CPSA CSC Comets 02B U16 Boys NCSL","FSCI Phoenix Orange U16 boys U16 Boys NCSL","U16","Boys","Culpeper Complex #3"
"CPSA CSC Comets 00B U18 Boys NCSL","TAPK Takoma Diablos U18 Boys NCSL","U18","Boys","Culpeper Complex #4"
"CPSA CSC Comets 99B U19 Boys NCSL","FSCI Phoenix Orange U19 Boys U19 Boys NCSL","U19","Boys","Culpeper Complex #4"
"CPSA CSC Comets 04G U14 Girls NCSL","LOUD 04G White U14 Girls NCSL","U14","Girls","Culpeper Complex #3"
"CPSA CSC Comets 06B SILVER U12 Boys NCSL","EPIC Assault 06B U12 Boys NCSL","U12","Boys","Culpeper Complex #1"
"CPSA CSC Comets 99B U19 Boys NCSL","STAF Revolution 99B White U19 Boys NCSL","U19","Boys","Culpeper Complex #3"
"CPSA CSC Comets 00B U18 Boys NCSL","NVSC United 00B NCSL U18 Boys NCSL","U18","Boys","Culpeper Complex #3"
"CPSA CSC Comets 05B U13 Boys NCSL","ALEX 05 Boys Blue U13 Boys NCSL","U13","Boys","Culpeper Complex #3"
"CPSA CSC Comets 05G U13 Girls NCSL","MRM Rush 05G Coyotes U13 Girls NCSL","U13","Girls","Culpeper Complex #3"
"CPSA CSC Comets 99B U19 Boys NCSL","VYS Elite Black U19 Boys NCSL","U19","Boys","Culpeper Complex #3"
"CPSA CSC Comets 06B SILVER U12 Boys NCSL","NVSC United 06B NCSL U12 Boys NCSL","U12","Boys","Culpeper Complex #1"
"CPSA CSC Comets 02B U16 Boys NCSL","LOUD 02B Silver U16 Boys NCSL","U16","Boys","Culpeper Complex #3"
"CPSA CSC Comets 05G U13 Girls NCSL","PAC Gold 05 U13 Girls NCSL","U13","Girls","Culpeper Complex #4"
"CPSA CSC Comets 05B U13 Boys NCSL","FRED FC Frederick '05 Royal II U13 Boys NCSL","U13","Boys","Culpeper Complex #4"
"CPSA CSC Comets 00B U18 Boys NCSL","LOUD 00B Black U18 Boys NCSL","U18","Boys","Culpeper Complex #3"
"CPSA CSC Comets 03B U15 Boys NCSL","SAC United Blue U15 Boys NCSL","U15","Boys","Culpeper Complex #4"
"CPSA CSC Comets 00G U18 Girls NCSL","NVSC United 00G NCSL U18 Girls NCSL","U18","Girls","Culpeper Complex #3"
"CPSA CSC Comets 06B RED U12 Boys NCSL","MRM Roadrunners 06b U12 Boys NCSL","U12","Boys","Culpeper Complex #1"
"CPSA CSC Comets 05G U13 Girls NCSL","ARL 05G Black U13 Girls NCSL","U13","Girls","Culpeper Complex #4"
"CPSA CSC Comets 05B U13 Boys NCSL","A3 Southampton U13 Boys NCSL","U13","Boys","Culpeper Complex #3"
"CPSA CSC Comets 06B SILVER U12 Boys NCSL","MRM Gray 06b Thunder U12 Boys NCSL","U12","Boys","Culpeper Complex #1"
"CPSA CSC Comets 04G U14 Girls NCSL","GRFL 04G Courage White U14 Girls NCSL","U14","Girls","Culpeper Complex #4"
"CPSA CSC Comets 03G U15 Girls NCSL","GRFL 03G Blue Blaze U15 Girls NCSL","U15","Girls","Culpeper Complex #3"
"CPSA CSC Comets 00B U18 Boys NCSL","FSCI Phoenix Orange U18 Boys U18 Boys NCSL","U18","Boys","Culpeper Complex #4"
"CPSA CSC Comets 03B U15 Boys NCSL","OLNY Rangers White U15 Boys NCSL","U15","Boys","Culpeper Complex #3"
"CPSA CSC Comets 02B U16 Boys NCSL","FRSA ROX 02B Blue U16 Boys NCSL","U16","Boys","Culpeper Complex #4"
"CPSA CSC Comets 03B U15 Boys NCSL","ODFC Cesena '03 U15 Boys NCSL","U15","Boys","Culpeper Complex #3"
"CPSA CSC Comets 06B SILVER U12 Boys NCSL","ODFC Cesena '06 U12 Boys NCSL","U12","Boys","Culpeper Complex #1"
"CPSA CSC Comets 03G U15 Girls NCSL","LFC Fierce U15 Girls NCSL","U15","Girls","Culpeper Complex #4"
"CPSA CSC Comets 00B U18 Boys NCSL","ALEX 00 Boys White U18 Boys NCSL","U18","Boys","Culpeper Complex #3"
"CPSA CSC Comets 06B RED U12 Boys NCSL","FRSA ROX 06B Blue U12 Boys NCSL","U12","Boys","Emerald Hill ES #1"
"CPSA CSC Comets 99B U19 Boys NCSL","FFC 99 Boys Red U19 Boys NCSL","U19","Boys","Emerald Hill ES #2"
"CPSA CSC Comets 06B SILVER U12 Boys NCSL","BETH White 06 U12 Boys NCSL","U12","Boys","Emerald Hill ES #1"
"CPSA CSC Comets 00G U18 Girls NCSL","LFC Intensity U18 Girls NCSL","U18","Girls","Emerald Hill ES #2"
"CSA Titans 04B U14 Boys NCSL","CYA 04B Gold U14 Boys NCSL","U14","Boys","Dunkirk District Park #7"
"CSA Chaos 09B U09 Boys NCSL","VIST Shenandoah FC Elite 09 U09 Boys NCSL","U09","Boys","Hallowing Point Park Back 22 (Field 7)"
"CSA Venom Select 05B U13 Boys NCSL","STAF Revolution 05B White U13 Boys NCSL","U13","Boys","Hallowing Point Park #12"
"CSA Lady Arsenal 05G U13 Girls NCSL","LAUR FC Gators U13 Girls NCSL","U13","Girls","Hallowing Point Park #12"
"CSA Cobras 04B U14 Boys NCSL","GRFL 04B Azzurri White U14 Boys NCSL","U14","Boys","Dunkirk District Park #7"
"CSA Titans 04B U14 Boys NCSL","FPYC United Blue 04 U14 Boys NCSL","U14","Boys","Dunkirk District Park #7"
"CSA United 06B U12 Boys NCSL","WSC Brasil FC U12 Boys NCSL","U12","Boys","St. John Vianney Catholic Church"
"CSA Cobras 04B U14 Boys NCSL","EPIC 04B Timbers Black U14 Boys NCSL","U14","Boys","Dunkirk District Park #4"
"CSA INFERNO 03G U15 Girls NCSL","LOUD 03G White U15 Girls NCSL","U15","Girls","Dunkirk District Park #7"
"CSA United 06B U12 Boys NCSL","SEVP Premier Green U12 Boys NCSL","U12","Boys","Hallowing Point Park Back 22 (Field 7)"
"CSA Titans 04B U14 Boys NCSL","SEVP Surge U14 Boys NCSL","U14","Boys","Hallowing Point Park #12"
"CSA Courage 08G U10 Girls NCSL","GRFL 08G United Blue U10 Girls NCSL","U10","Girls","Hallowing Point Park Back 22 (Field 8)"
"CSA Chaos 09B U09 Boys NCSL","MCLN 2009 Boys Silver U09 Boys NCSL","U09","Boys","Hallowing Point Park Back 22 (Field 7)"
"CSA Venom Select 05B U13 Boys NCSL","LOUD 05B White U13 Boys NCSL","U13","Boys","Hallowing Point Park #12"
"CSA Pride 08G U10 Girls NCSL","GRFL 08G United White U10 Girls NCSL","U10","Girls","Hallowing Point Park Back 22 (Field 8)"
"CSA Courage 08G U10 Girls NCSL","ALEX 08 Girls Red U10 Girls NCSL","U10","Girls","Church by the Chesapeake Field 2 Lower Field"
"CSA Pride 08G U10 Girls NCSL","ALEX 08 Girls White U10 Girls NCSL","U10","Girls","Church by the Chesapeake Field 2 Lower Field"
"CSA United 08B Gold U10 Boys NCSL","PWSI Boys 2008 Nike U10 Boys NCSL","U10","Boys","Hallowing Point Park Back 22 (Field 7)"
"CSA Flames 06G U12 Girls NCSL","LOUD 06G Silver U12 Girls NCSL","U12","Girls","Hallowing Point Park Back 22 (Field 8)"
"CSA INFERNO 03G U15 Girls NCSL","GRFL 03G Blue Blaze U15 Girls NCSL","U15","Girls","Hallowing Point Park #12"
"CSA United 08B Black U10 Boys NCSL","PWSI Boys 2008 Swoosh U10 Boys NCSL","U10","Boys","Hallowing Point Park Back 22 (Field 7)"
"CSA United 06B U12 Boys NCSL","CYA 06B Gold U12 Boys NCSL","U12","Boys","Hallowing Point Park Back 22 (Field 8)"
"CSA Pride 08G U10 Girls NCSL","A3 Oxford U10 Girls NCSL","U10","Girls","Church by the Chesapeake Field 2 Lower Field"
"CSA Courage 08G U10 Girls NCSL","A3 Arsenal U10 Girls NCSL","U10","Girls","Church by the Chesapeake Field 2 Lower Field"
"CSA Lady Arsenal 05G U13 Girls NCSL","CSA Tigers 05G U13 Girls NCSL","U13","Girls","Dunkirk District Park #4"
"CSA United 08B Black U10 Boys NCSL","SMS Strikers White U10 Boys NCSL","U10","Boys","Hallowing Point Park Back 22 (Field 7)"
"CSA Titans 04B U14 Boys NCSL","CFC 04B Red U14 Boys NCSL","U14","Boys","Dunkirk District Park #7"
"CSA Flames 06G U12 Girls NCSL","SAC United White U12 Girls NCSL","U12","Girls","Hallowing Point Park Back 22 (Field 8)"
"CSA Impact 04G U14 Girls NCSL","POT Black 04 U14 Girls NCSL","U14","Girls","Hallowing Point Park #12"
"CSA Chaos 09B U09 Boys NCSL","VIST Legend U09 Boys NCSL","U09","Boys","Hallowing Point Park Back 22 (Field 8)"
"CSA United 08B Gold U10 Boys NCSL","SMS Strikers Red U10 Boys NCSL","U10","Boys","Hallowing Point Park Back 22 (Field 7)"
"CSA Cobras 04B U14 Boys NCSL","SDor Barca '04 Premier U14 Boys NCSL","U14","Boys","Dunkirk District Park #7"
"CSA Tigers 05G U13 Girls NCSL","LAUR FC Gators U13 Girls NCSL","U13","Girls","Hallowing Point Park #12"
"CSA INFERNO 03G U15 Girls NCSL","MRM Rush Fire '03G U15 Girls NCSL","U15","Girls","Dunkirk District Park #4"
"CSA Chaos 09B U09 Boys NCSL","VYS 09B Silver U09 Boys NCSL","U09","Boys","Hallowing Point Park Back 22 (Field 7)"
"CSA Cobras 04B U14 Boys NCSL","NVSC Hybrid 04B U14 Boys NCSL","U14","Boys","Hallowing Point Park #12"
"CSA United 08B Gold U10 Boys NCSL","GSC United Red 08 U10 Boys NCSL","U10","Boys","Hallowing Point Park Back 22 (Field 7)"
"CSA Tigers 05G U13 Girls NCSL","ASA Fire 05 U13 Girls NCSL","U13","Girls","Dunkirk District Park #7"
"CSA Impact 04G U14 Girls NCSL","ARL 04G Black U14 Girls NCSL","U14","Girls","Hallowing Point Park #12"
"CSA United 08B Black U10 Boys NCSL","GSC United White 08 U10 Boys NCSL","U10","Boys","Hallowing Point Park Back 22 (Field 7)"
"CSA INFERNO 03G U15 Girls NCSL","LFC Fierce U15 Girls NCSL","U15","Girls","Dunkirk District Park #7"
"CSA Venom Select 05B U13 Boys NCSL","STER FC Elite Black '05 Lions U13 Boys NCSL","U13","Boys","Hallowing Point Park #12"
"CSA Tigers 05G U13 Girls NCSL","VSA 05G Pre Academy Select Navy U13 Girls NCSL","U13","Girls","Dunkirk District Park #4"
"CSA United 08B Gold U10 Boys NCSL","CALV CSA 2008 U10 Boys NCSL","U10","Boys","Hallowing Point Park Back 22 (Field 7)"
"CSA Titans 04B U14 Boys NCSL","SMS United Premier U14 Boys NCSL","U14","Boys","Dunkirk District Park #7"
"CSA Courage 08G U10 Girls NCSL","VYS '08G Red U10 Girls NCSL","U10","Girls","Hallowing Point Park Back 22 (Field 8)"
"CSA Impact 04G U14 Girls NCSL","VSA 04G Pre Academy Select Navy U14 Girls NCSL","U14","Girls","Hallowing Point Park #12"
"CSA United 08B Black U10 Boys NCSL","CALV MD International 2008 U10 Boys NCSL","U10","Boys","Hallowing Point Park Back 22 (Field 7)"
"CSA Venom Select 05B U13 Boys NCSL","WALD SC 05 Boys Black U13 Boys NCSL","U13","Boys","Hallowing Point Park #12"
"CSA Pride 08G U10 Girls NCSL","VYS '08G Black U10 Girls NCSL","U10","Girls","Hallowing Point Park Back 22 (Field 8)"
"CSA Lady Arsenal 05G U13 Girls NCSL","VSA 05G Pre Academy Select Navy U13 Girls NCSL","U13","Girls","Dunkirk District Park #7"
"CSA Flames 06G U12 Girls NCSL","TCSC 06 Phoenix Black U12 Girls NCSL","U12","Girls","Hallowing Point Park Back 22 (Field 7)"
"CSA Venom Select 05B U13 Boys NCSL","RUSH Nero 05B U13 Boys NCSL","U13","Boys","Dunkirk District Park #7"
"CSA Tigers 05G U13 Girls NCSL","AUSC 05 Girls U13 Girls NCSL","U13","Girls","Dunkirk District Park #4"
"CSA United 08B Black U10 Boys NCSL","VIST Shenandoah FC  Elite 08 U10 Boys NCSL","U10","Boys","Hallowing Point Park Back 22 (Field 7)"
