"Home","Away","Field","Age.Group","Gender"
"Beach FC Raptors U11 Boys TASL","WBSC Arsenal U11 Boys TASL","Hampton Roads Soccer Complex Field 13B","U11","Boys"
"CSC Hawks U11 Boys TASL","WBSC Arsenal U11 Boys TASL","Centerville Complex Field 7A","U11","Boys"
"Carolina Lightning U11 Boys TASL","CSL Avengers U11 Boys TASL","Albemarle School Field 1","U11","Boys"
"AYSO Arsenal U11 Boys TASL","Beach FC Raptors U11 Boys TASL","AYSO Cornland Park Field 5","U11","Boys"
"WBSC Legends U11 Boys TASL","CSC Hawks U11 Boys TASL","Joliff Middle School Field 2","U11","Boys"
"WBSC Arsenal U11 Boys TASL","Beach FC Strikers U11 Boys TASL","Joliff Middle School Field 2","U11","Boys"
"CSL Avengers U11 Boys TASL","WBSC Legends U11 Boys TASL","Churchland Park Field  1","U11","Boys"
"Beach FC Raptors U11 Boys TASL","CSC Hawks U11 Boys TASL","Hampton Roads Soccer Complex Field 13B","U11","Boys"
"CSL Avengers U11 Boys TASL","Beach FC Strikers U11 Boys TASL","Churchland Park Field  1","U11","Boys"
"CSC Hawks U11 Boys TASL","Carolina Lightning U11 Boys TASL","Centerville Complex Field 7A","U11","Boys"
"Beach FC Raptors U11 Boys TASL","CSL Challengers U11 Boys TASL","Hampton Roads Soccer Complex Field 13B","U11","Boys"
"Beach FC Strikers U11 Boys TASL","Carolina Lightning U11 Boys TASL","Hampton Roads Soccer Complex Field 13B","U11","Boys"
"CSL Avengers U11 Boys TASL","Beach FC Thunder U11 Boys TASL","Churchland Park Field  1","U11","Boys"
"CSL Challengers U11 Boys TASL","AYSO Arsenal U11 Boys TASL","Churchland Park Field  1","U11","Boys"
"Beach FC Strikers U11 Boys TASL","CSC Hawks U11 Boys TASL","Hampton Roads Soccer Complex Field 13B","U11","Boys"
"WBSC Arsenal U11 Boys TASL","WBSC Legends U11 Boys TASL","Joliff Middle School Field 2","U11","Boys"
"CSL Avengers U11 Boys TASL","CSL Challengers U11 Boys TASL","Churchland Park Field  1","U11","Boys"
"Beach FC Thunder U11 Boys TASL","Carolina Lightning U11 Boys TASL","Lake Taylor Soccer Complex Field 10","U11","Boys"
"Beach FC Strikers U11 Boys TASL","AYSO Arsenal U11 Boys TASL","Hampton Roads Soccer Complex Field 13B","U11","Boys"
"Beach FC Thunder U11 Boys TASL","Beach FC Strikers U11 Boys TASL","Lake Taylor Soccer Complex Field 10","U11","Boys"
"CSL Challengers U11 Boys TASL","WBSC Legends U11 Boys TASL","Churchland Park Field  1","U11","Boys"
"Beach FC Raptors U11 Boys TASL","CSL Avengers U11 Boys TASL","Lake Taylor Soccer Complex Field 10","U11","Boys"
"Beach FC Thunder U11 Boys TASL","AYSO Arsenal U11 Boys TASL","Lake Taylor Soccer Complex Field 10","U11","Boys"
"Carolina Lightning U11 Boys TASL","CSL Challengers U11 Boys TASL","Albemarle School Field 1","U11","Boys"
"CSL Famous Strikers U11 Boys TASL","Beach FC Scorpions U11 Boys TASL","Churchland Park Field  1","U11","Boys"
"Suffolk Arsenal U11 Boys TASL","CUSC Panthers U11 Boys TASL","SYAA field 5","U11","Boys"
"CUSC Panthers U11 Boys TASL","CSL Famous Strikers U11 Boys TASL","Centerville Complex Field 9","U11","Boys"
"Beach FC Strikers 2 U11 Boys TASL","Suffolk Arsenal U11 Boys TASL","Hampton Roads Soccer Complex Field 13B","U11","Boys"
"Suffolk Arsenal U11 Boys TASL","Beach FC Scorpions U11 Boys TASL","SYAA field 5","U11","Boys"
"Beach FC Strikers 2 U11 Boys TASL","CUSC Panthers U11 Boys TASL","Hampton Roads Soccer Complex Field 13B","U11","Boys"
"Beach FC Scorpions U11 Boys TASL","Beach FC Strikers U11 Boys TASL","Hampton Roads Soccer Complex Field 13B","U11","Boys"
"Beach FC Ninjas U11 Boys TASL","Suffolk Arsenal U11 Boys TASL","Hampton Roads Soccer Complex Field 13B","U11","Boys"
"Beach FC Strikers 2 U11 Boys TASL","Beach FC Ninjas U11 Boys TASL","Hampton Roads Soccer Complex Field 13B","U11","Boys"
"Suffolk Arsenal U11 Boys TASL","TSA Rovers FC U11 Boys TASL","SYAA field 5","U11","Boys"
"Beach FC Ninjas U11 Boys TASL","Beach FC Scorpions U11 Boys TASL","Hampton Roads Soccer Complex Field 13B","U11","Boys"
"TSA Rovers FC U11 Boys TASL","CUSC Panthers U11 Boys TASL","Wahrill Soccer Complex Field 2","U11","Boys"
"CUSC Panthers U11 Boys TASL","Beach FC Ninjas U11 Boys TASL","Centerville Complex Field 9","U11","Boys"
"Beach FC Dragons U11 Boys TASL","Beach FC Scorpions U11 Boys TASL","Lake Taylor Soccer Complex Field 10","U11","Boys"
"Beach FC Dragons U11 Boys TASL","Beach FC Strikers 2 U11 Boys TASL","Lake Taylor Soccer Complex Field 11","U11","Boys"
"Beach FC Scorpions U11 Boys TASL","CSL Famous Strikers U11 Boys TASL","Hampton Roads Soccer Complex Field 13A","U11","Boys"
"Beach FC Ninjas U11 Boys TASL","Beach FC Dragons U11 Boys TASL","Lake Taylor Soccer Complex Field 10","U11","Boys"
"Beach FC Strikers 2 U11 Boys TASL","Beach FC Dragons U11 Boys TASL","Hampton Roads Soccer Complex Field 13B","U11","Boys"
"TSA Rovers FC U11 Boys TASL","Beach FC Ninjas U11 Boys TASL","Wahrill Soccer Complex Field 2","U11","Boys"
