"Home","Age.Group","Gender"
"NVSC 2004 U14 Male CCL II","U14","Boys"
"NVSC 2005 U13 Female CCL","U13","Girls"
"NVSC 2005 U13 Female CCL II","U13","Girls"
"NVSC 2005 U13 Male CCL","U13","Boys"
"NVSC 2005 U13 Male CCL II","U13","Boys"
"NVSC 2006 U12 Female CCL","U12","Girls"
"NVSC 2006 U12 Female CCL II","U12","Girls"
"NVSC 2006 U12 Male CCL","U12","Boys"
"NVSC 2006 U12 Male CCL II","U12","Boys"
"NVSC 2007 U11 Female CCL","U11","Girls"
"NVSC 2007 U11 Female CCL II","U11","Girls"
"NVSC 2007 U11 Male CCL","U11","Boys"
"NVSC 2007 U11 Male CCL II","U11","Boys"
"NVSC 2008 U10 Female CCL","U10","Girls"
"NVSC 2008 U10 Male CCL","U10","Boys"
"NVSC 2009 U09 Female CCL","U09","Girls"
"NVSC 2009 U09 Male CCL","U09","Boys"
"Potomac 1999 U19 Female CCL","U19","Girls"
"Potomac 1999 U19 Male CCL","U19","Boys"
"Potomac 2000 U18 Female CCL","U18","Girls"
"Potomac 2000 U18 Male CCL","U18","Boys"
"Potomac 2001 U17 Female CCL","U17","Girls"
"Potomac 2001 U17 Male CCL","U17","Boys"
"Potomac 2002 U16 Female CCL","U16","Girls"
"Potomac 2002 U16 Female CCL II","U16","Girls"
"Potomac 2002 U16 Male CCL","U16","Boys"
"Potomac 2002 U16 Male CCL II","U16","Boys"
"Potomac 2003 U15 Female CCL","U15","Girls"
"Potomac 2003 U15 Female CCL II","U15","Girls"
"Potomac 2003 U15 Male CCL","U15","Boys"
"Potomac 2003 U15 Male CCL II","U15","Boys"
"Potomac 2004 U14 Female CCL","U14","Girls"
"Potomac 2004 U14 Female CCL II","U14","Girls"
"Potomac 2004 U14 Male CCL","U14","Boys"
"Potomac 2004 U14 Male CCL II","U14","Boys"
"Potomac 2005 U13 Female CCL","U13","Girls"
"Potomac 2005 U13 Female CCL II","U13","Girls"
"Potomac 2005 U13 Male CCL","U13","Boys"
"Potomac 2005 U13 Male CCL II","U13","Boys"
"Potomac 2006 U12 Female CCL","U12","Girls"
"Potomac 2006 U12 Female CCL II","U12","Girls"
"Potomac 2006 U12 Male CCL","U12","Boys"
"Potomac 2006 U12 Male CCL II","U12","Boys"
"Potomac 2007 U11 Female CCL","U11","Girls"
"Potomac 2007 U11 Female CCL II","U11","Girls"
"Potomac 2007 U11 Male CCL","U11","Boys"
"Potomac 2007 U11 Male CCL II","U11","Boys"
"Potomac 2008 U10 Female CCL","U10","Girls"
"Potomac 2008 U10 Male CCL","U10","Boys"
"Potomac 2009 U09 Female CCL","U09","Girls"
"Potomac 2009 U09 Male CCL","U09","Boys"
"Roanoke Star 1999 U19 Female CCL","U19","Girls"
"Roanoke Star 1999 U19 Male CCL","U19","Boys"
"Roanoke Star 2000 U18 Female CCL","U18","Girls"
"Roanoke Star 2000 U18 Male CCL","U18","Boys"
"Roanoke Star 2001 U17 Female CCL","U17","Girls"
"Roanoke Star 2001 U17 Male CCL","U17","Boys"
"Roanoke Star 2002 U16 Female CCL","U16","Girls"
"Roanoke Star 2002 U16 Male CCL","U16","Boys"
"Roanoke Star 2003 U15 Female CCL","U15","Girls"
"Roanoke Star 2003 U15 Male CCL","U15","Boys"
"Roanoke Star 2004 U14 Female CCL","U14","Girls"
"Roanoke Star 2004 U14 Male CCL","U14","Boys"
"Roanoke Star 2005 U13 Female CCL","U13","Girls"
"Roanoke Star 2005 U13 Male CCL","U13","Boys"
"Roanoke Star 2006 U12 Female CCL","U12","Girls"
"Roanoke Star 2006 U12 Male CCL","U12","Boys"
"Roanoke Star 2007 U11 Female CCL","U11","Girls"
"Roanoke Star 2007 U11 Male CCL","U11","Boys"
"SOCA 1999 U19 Female CCL","U19","Girls"
"SOCA 1999 U19 Male CCL","U19","Boys"
"SOCA 2000 U18 Female CCL","U18","Girls"
"SOCA 2000 U18 Male CCL","U18","Boys"
"SOCA 2001 U17 Female CCL","U17","Girls"
"SOCA 2001 U17 Male CCL","U17","Boys"
"SOCA 2002 U16 Female CCL","U16","Girls"
"SOCA 2002 U16 Male CCL","U16","Boys"
"SOCA 2003 U15 Female CCL","U15","Girls"
"SOCA 2003 U15 Male CCL","U15","Boys"
"SOCA 2004 U14 Female CCL","U14","Girls"
"SOCA 2004 U14 Male CCL","U14","Boys"
"SOCA 2005 U13 Female CCL","U13","Girls"
"SOCA 2005 U13 Male CCL","U13","Boys"
"SOCA 2006 U12 Female CCL","U12","Girls"
"SOCA 2006 U12 Male CCL","U12","Boys"
"SOCA 2007 U11 Female CCL","U11","Girls"
"SOCA 2007 U11 Male CCL","U11","Boys"
"SYA 1999 U19 Female CCL","U19","Girls"
"SYA 1999 U19 Male CCL","U19","Boys"
"SYA 2000 U18 Female CCL","U18","Girls"
"SYA 2000 U18 Male CCL","U18","Boys"
"SYA 2001 U17 Female CCL","U17","Girls"
"SYA 2001 U17 Male CCL","U17","Boys"
"SYA 2002 U16 Female CCL","U16","Girls"
"SYA 2002 U16 Female CCL II","U16","Girls"
"SYA 2002 U16 Male CCL","U16","Boys"
"SYA 2003 U15 Female CCL","U15","Girls"
"SYA 2003 U15 Female CCL II","U15","Girls"
"SYA 2003 U15 Male CCL","U15","Boys"
"SYA 2003 U15 Male CCL II","U15","Boys"
"SYA 2004 U14 Female CCL","U14","Girls"
"SYA 2004 U14 Female CCL II","U14","Girls"
"SYA 2004 U14 Male CCL","U14","Boys"
"SYA 2004 U14 Male CCL II","U14","Boys"
"SYA 2005 U13 Female CCL","U13","Girls"
"SYA 2005 U13 Female CCL II","U13","Girls"
"SYA 2005 U13 Male CCL","U13","Boys"
"SYA 2005 U13 Male CCL II","U13","Boys"
"SYA 2006 U12 Female CCL","U12","Girls"
"SYA 2006 U12 Female CCL II","U12","Girls"
"SYA 2006 U12 Male CCL","U12","Boys"
"SYA 2006 U12 Male CCL II","U12","Boys"
"SYA 2007 U11 Female CCL","U11","Girls"
"SYA 2007 U11 Female CCL II","U11","Girls"
"SYA 2007 U11 Male CCL","U11","Boys"
"SYA 2007 U11 Male CCL II","U11","Boys"
"SYA 2008 U10 Female CCL","U10","Girls"
"SYA 2008 U10 Male CCL","U10","Boys"
"SYA 2009 U09 Female CCL","U09","Girls"
"SYA 2009 U09 Male CCL","U09","Boys"
"SYC 2001 U17 Female CCL","U17","Girls"
"SYC 2002 U16 Female CCL","U16","Girls"
"SYC 2002 U16 Female CCL II","U16","Girls"
"SYC 2002 U16 Male CCL II","U16","Boys"
"SYC 2003 U15 Female CCL II","U15","Girls"
"SYC 2003 U15 Male CCL II","U15","Boys"
"SYC 2004 U14 Female CCL II","U14","Girls"
"SYC 2004 U14 Male CCL II","U14","Boys"
"SYC 2005 U13 Female CCL II","U13","Girls"
"SYC 2005 U13 Male CCL II","U13","Boys"
"SYC 2006 U12 Female CCL II","U12","Girls"
"SYC 2006 U12 Male CCL II","U12","Boys"
"SYC 2007 U11 Female CCL II","U11","Girls"
"SYC 2007 U11 Male CCL II","U11","Boys"
"SYC 2008 U10 Female CCL","U10","Girls"
"SYC 2008 U10 Male CCL","U10","Boys"
"SYC 2009 U09 Female CCL","U09","Girls"
"SYC 2009 U09 Male CCL","U09","Boys"
"Virginia Legacy 1999 U19 Female CCL","U19","Girls"
"Virginia Legacy 1999 U19 Male CCL","U19","Boys"
"Virginia Legacy 2000 U18 Female CCL","U18","Girls"
"Virginia Legacy 2000 U18 Male CCL","U18","Boys"
"Virginia Legacy 2001 U17 Female CCL","U17","Girls"
"Virginia Legacy 2001 U17 Male CCL","U17","Boys"
"Virginia Legacy 2002 U16 Female CCL","U16","Girls"
"Virginia Legacy 2002 U16 Male CCL","U16","Boys"
"Virginia Legacy 2003 U15 Female CCL","U15","Girls"
"Virginia Legacy 2003 U15 Male CCL","U15","Boys"
"Virginia Legacy 2004 U14 Female CCL","U14","Girls"
"Virginia Legacy 2004 U14 Male CCL","U14","Boys"
"Virginia Legacy 2005 U13 Female CCL","U13","Girls"
"Virginia Legacy 2005 U13 Male CCL","U13","Boys"
"Virginia Legacy 2006 U12 Female CCL","U12","Girls"
"Virginia Legacy 2006 U12 Male CCL","U12","Boys"
"Virginia Legacy 2007 U11 Female CCL","U11","Girls"
"Virginia Legacy 2007 U11 Male CCL","U11","Boys"
"FC Frederick 2002 U16 Female CCL II","U16","Girls"
"FCSC United 2001 U17 Male CCL","U17","Boys"
"FCSC United 2002 U16 Male CCL","U16","Boys"
"Fredericksburg FC 2002 U16 Female CCL II","U16","Girls"
"Loudoun 2002 U16 Male CCL II","U16","Boys"
"McLean 2002 U16 Male CCL II","U16","Boys"
"NVSC 2002 U16 Male CCL II","U16","Boys"
"SYA 2002 U16 Male CCL II","U16","Boys"
"SYC 2003 U15 Female CCL","U15","Girls"
"SYC 2003 U15 Male CCL","U15","Boys"
"SYC 2004 U14 Female CCL","U14","Girls"
"SYC 2004 U14 Male CCL","U14","Boys"
"SYC 2005 U13 Female CCL","U13","Girls"
"SYC 2005 U13 Male CCL","U13","Boys"
"SYC 2006 U12 Female CCL","U12","Girls"
"SYC 2006 U12 Male CCL","U12","Boys"
"SYC 2007 U11 Female CCL","U11","Girls"
"SYC 2007 U11 Male CCL","U11","Boys"
