"Home","Away","Age.Group","Field","Gender"
"McLean 2001 U17 Female CCL","FC Richmond 2001 U17 Female CCL","U17","Spring Hill Recreation Center #5","Girls"
"Loudoun 2002 U16 Male CCL","SOCA 2002 U16 Male CCL","U16","Philip Bolen Park #12","Boys"
"NVSC 2002 U16 Male CCL","FC Frederick 2002 U16 Male CCL","U16","Hellwig Park #8","Boys"
"SYA 2002 U16 Male CCL","Arlington 2002 U16 Male CCL","U16","Centerville High School #Practice - Turf","Boys"
"McLean 2002 U16 Male CCL","FC Richmond 2002 U16 Male CCL","U16","Lewinsville Park #2","Boys"
"Loudoun 2002 U16 Female CCL","SOCA 2002 U16 Female CCL","U16","Philip Bolen Park #2","Girls"
"NVSC 2002 U16 Female CCL","FC Frederick 2002 U16 Female CCL","U16","Hellwig Park #7","Girls"
"SYA 2002 U16 Female CCL","Arlington 2002 U16 Female CCL","U16","Centerville High School #Stadium","Girls"
"McLean 2002 U16 Female CCL","FC Richmond 2002 U16 Female CCL","U16","Spring Hill Recreation Center #5","Girls"
"Loudoun 2003 U15 Male CCL","SOCA 2003 U15 Male CCL","U15","Loudoun Soccer Park #2","Boys"
"NVSC 2003 U15 Male CCL","FC Frederick 2003 U15 Male CCL","U15","Hellwig Park #2","Boys"
"SYA 2003 U15 Male CCL","Arlington 2003 U15 Male CCL","U15","SYA Sports Park #4","Boys"
"McLean 2003 U15 Male CCL","FC Richmond 2003 U15 Male CCL","U15","Spring Hill Recreation Center #5","Boys"
"Loudoun 2003 U15 Female CCL","SOCA 2003 U15 Female CCL","U15","Loudoun Soccer Park #1","Girls"
"NVSC 2003 U15 Female CCL","FC Frederick 2003 U15 Female CCL","U15","Hellwig Park #3","Girls"
"SYA 2003 U15 Female CCL","Arlington 2003 U15 Female CCL","U15","SYA Sports Park #4","Girls"
"McLean 2003 U15 Female CCL","FC Richmond 2003 U15 Female CCL","U15","Spring Hill Recreation Center #5","Girls"
"Loudoun 2004 U14 Male CCL","SOCA 2004 U14 Male CCL","U14","Philip Bolen Park #2","Boys"
"NVSC 2004 U14 Male CCL","FC Frederick 2004 U14 Male CCL","U14","Hellwig Park #2","Boys"
"SYA 2004 U14 Male CCL","Arlington 2004 U14 Male CCL","U14","SYA Sports Park #4","Boys"
