"Home","Away","Field","Age.Group","Gender"
"RSK CHESTERFIELD 2006 ELITE WHITE U12 Boys ADSL","KICKERS U11B ELITE BLACK U12 Boys ADSL","United Training Center #5","U12","Boys"
"KICKERS U11B ELITE WHITE U12 Boys ADSL","STRIKERS 2006 PREMIER BLACK U12 Boys ADSL","Ukrop Park 4A","U12","Boys"
"STRIKERS 2006 UNITED U12 Boys ADSL","KICKERS CENTRAL DYNAMO U12 Boys ADSL","Striker Park #04","U12","Boys"
"KICKERS SOUTH WOODLAKE REAL U12 Boys ADSL","STRIKERS 2006 ELITE BLACK GIRLS U12 Boys ADSL","Woodlake #3","U12","Boys"
"STRIKERS 2006 ELITE BLACK GIRLS U12 Boys ADSL","KICKERS U11B ELITE WHITE U12 Boys ADSL","Striker Park #05","U12","Boys"
"RSK CHESTERFIELD FIRST TOUCH U12 Boys ADSL","FC RICHMOND METRO U12 Boys ADSL","United Training Center #5","U12","Boys"
"STRIKERS 2006 PREMIER WHITE U12 Boys ADSL","RSK CHESTERFIELD 2006 ELITE WHITE U12 Boys ADSL","Striker Park #05","U12","Boys"
"STRIKERS 2006 PREMIER BLACK U12 Boys ADSL","KICKERS SOUTH WOODLAKE REAL U12 Boys ADSL","Striker Park #04","U12","Boys"
"KICKERS CENTRAL DYNAMO U12 Boys ADSL","KICKERS SOUTH UKROP PARK SPORTING U12 Boys ADSL","Bryan Park A1","U12","Boys"
"STRIKERS 2006 UNITED U12 Boys ADSL","KICKERS COLLEGIATE CREW U12 Boys ADSL","Striker Park #04","U12","Boys"
"STRIKERS 2006 PREMIER WHITE U12 Boys ADSL","KICKERS U11B ELITE WHITE U12 Boys ADSL","Striker Park #05","U12","Boys"
"KICKERS SOUTH UKROP PARK SPORTING U12 Boys ADSL","FC RICHMOND METRO U12 Boys ADSL","Woodlake #3","U12","Boys"
"RSK CHESTERFIELD 2006 ELITE WHITE U12 Boys ADSL","KICKERS SOUTH WOODLAKE REAL U12 Boys ADSL","United Training Center #4B","U12","Boys"
"KICKERS CENTRAL DYNAMO U12 Boys ADSL","KICKERS COLLEGIATE CREW U12 Boys ADSL","Ukrop Park 4A","U12","Boys"
"KICKERS U11B ELITE BLACK U12 Boys ADSL","STRIKERS 2006 PREMIER BLACK U12 Boys ADSL","Ukrop Park 4A","U12","Boys"
"STRIKERS 2006 UNITED U12 Boys ADSL","POWHATAN FURY 06B U12 Boys ADSL","Striker Park #05","U12","Boys"
"RSK CHESTERFIELD 2006 ELITE WHITE U12 Boys ADSL","STRIKERS 2006 ELITE BLACK GIRLS U12 Boys ADSL","United Training Center #5","U12","Boys"
"STRIKERS 2006 PREMIER BLACK U12 Boys ADSL","POWHATAN FURY 06B U12 Boys ADSL","Striker Park #06","U12","Boys"
"KICKERS COLLEGIATE CREW U12 Boys ADSL","RSK CHESTERFIELD FIRST TOUCH U12 Boys ADSL","Ukrop Park 1A","U12","Boys"
"KICKERS SOUTH WOODLAKE REAL U12 Boys ADSL","STRIKERS 2006 PREMIER WHITE U12 Boys ADSL","Woodlake #3","U12","Boys"
"KICKERS SOUTH UKROP PARK SPORTING U12 Boys ADSL","STRIKERS 2006 UNITED U12 Boys ADSL","Ukrop Park 1A","U12","Boys"
"KICKERS U11B ELITE WHITE U12 Boys ADSL","KICKERS U11B ELITE BLACK U12 Boys ADSL","Ukrop Park 1A","U12","Boys"
"FC RICHMOND METRO U12 Boys ADSL","KICKERS CENTRAL DYNAMO U12 Boys ADSL","Greenfield #2","U12","Boys"
"RSK CHESTERFIELD FIRST TOUCH U12 Boys ADSL","KICKERS CENTRAL DYNAMO U12 Boys ADSL","United Training Center #5","U12","Boys"
"STRIKERS 2006 PREMIER WHITE U12 Boys ADSL","STRIKERS 2006 PREMIER BLACK U12 Boys ADSL","Striker Park #04","U12","Boys"
"KICKERS COLLEGIATE CREW U12 Boys ADSL","KICKERS SOUTH UKROP PARK SPORTING U12 Boys ADSL","Ukrop Park 1A","U12","Boys"
"POWHATAN FURY 06B U12 Boys ADSL","FC RICHMOND METRO U12 Boys ADSL","Fighting Creek Park #2","U12","Boys"
"KICKERS U11B ELITE BLACK U12 Boys ADSL","KICKERS SOUTH WOODLAKE REAL U12 Boys ADSL","Ukrop Park 1A","U12","Boys"
"KICKERS U11B ELITE WHITE U12 Boys ADSL","RSK CHESTERFIELD 2006 ELITE WHITE U12 Boys ADSL","Ukrop Park 1A","U12","Boys"
"STRIKERS 2006 ELITE BLACK GIRLS U12 Boys ADSL","KICKERS U11B ELITE BLACK U12 Boys ADSL","Striker Park #05","U12","Boys"
"RSK CHESTERFIELD FIRST TOUCH U12 Boys ADSL","STRIKERS 2006 UNITED U12 Boys ADSL","United Training Center #5","U12","Boys"
"STRIKERS 2006 PREMIER BLACK U12 Boys ADSL","RSK CHESTERFIELD 2006 ELITE WHITE U12 Boys ADSL","Striker Park #05","U12","Boys"
"KICKERS U11B ELITE BLACK U12 Boys ADSL","STRIKERS 2006 PREMIER WHITE U12 Boys ADSL","Ukrop Park 1B","U12","Boys"
"POWHATAN FURY 06B U12 Boys ADSL","KICKERS CENTRAL DYNAMO U12 Boys ADSL","Fighting Creek Park #2","U12","Boys"
"RSK CHESTERFIELD FIRST TOUCH U12 Boys ADSL","KICKERS SOUTH UKROP PARK SPORTING U12 Boys ADSL","United Training Center #5","U12","Boys"
"KICKERS SOUTH WOODLAKE REAL U12 Boys ADSL","STRIKERS 2006 ELITE BLACK GIRLS U12 Boys ADSL","Woodlake #3","U12","Boys"
"FC RICHMOND METRO U12 Boys ADSL","KICKERS COLLEGIATE CREW U12 Boys ADSL","Greenfield #1","U12","Boys"
"KICKERS SOUTH WOODLAKE REAL U12 Boys ADSL","KICKERS U11B ELITE WHITE U12 Boys ADSL","Woodlake #3","U12","Boys"
"RSK CHESTERFIELD 2006 ELITE WHITE U12 Boys ADSL","KICKERS U11B ELITE BLACK U12 Boys ADSL","United Training Center #5","U12","Boys"
"STRIKERS 2006 PREMIER WHITE U12 Boys ADSL","FC RICHMOND METRO U12 Boys ADSL","Capital Park #3","U12","Boys"
"KICKERS CENTRAL DYNAMO U12 Boys ADSL","STRIKERS 2006 UNITED U12 Boys ADSL","Bryan Park A1","U12","Boys"
"KICKERS SOUTH UKROP PARK SPORTING U12 Boys ADSL","POWHATAN FURY 06B U12 Boys ADSL","Ukrop Park 1B","U12","Boys"
"KICKERS COLLEGIATE CREW U12 Boys ADSL","RSK CHESTERFIELD FIRST TOUCH U12 Boys ADSL","Ukrop Park 1B","U12","Boys"
"KICKERS U11B ELITE WHITE U12 Boys ADSL","STRIKERS 2006 PREMIER BLACK U12 Boys ADSL","Ukrop Park 1B","U12","Boys"
"FC RICHMOND METRO U12 Boys ADSL","STRIKERS 2006 UNITED U12 Boys ADSL","Greenfield #1","U12","Boys"
"STRIKERS 2008 ELITE U10 Girls ADSL","POWHATAN FURY 08G U10 Girls ADSL","Striker Park #09","U10","Girls"
"STRIKERS 2008 JONES U10 Girls ADSL","STRIKERS 2008 NOFTSINGER U10 Girls ADSL","Striker Park #10","U10","Girls"
"FC RICHMOND SKY U10 Girls ADSL","RSK CHESTERFIELD 2008 ELITE BLUE U10 Girls ADSL","Greenfield #2","U10","Girls"
"FC RICHMOND NAVY U10 Girls ADSL","RSK CHESTERFIELD 2008 ELITE BLUE U10 Girls ADSL","Greenfield #2","U10","Girls"
"STRIKERS 2008 JONES U10 Girls ADSL","KICKERS COLLEGIATE RED U10 Girls ADSL","Striker Park #09","U10","Girls"
"STRIKERS 2008 NOFTSINGER U10 Girls ADSL","RSK CHESTERFIELD U10G U10 Girls ADSL","Striker Park #09","U10","Girls"
"RSK CHESTERFIELD 2008 ELITE BLUE U10 Girls ADSL","STRIKERS 2008 JONES U10 Girls ADSL","United Training Center #4B","U10","Girls"
"FC RICHMOND NAVY U10 Girls ADSL","STRIKERS 2008 NOFTSINGER U10 Girls ADSL","Fighting Creek Park #3","U10","Girls"
"STRIKERS 2008 ELITE U10 Girls ADSL","FC RICHMOND SKY U10 Girls ADSL","Striker Park #10","U10","Girls"
"RSK CHESTERFIELD 2008 ELITE BLUE U10 Girls ADSL","POWHATAN FURY 08G U10 Girls ADSL","United Training Center #4A","U10","Girls"
"STRIKERS 2008 JONES U10 Girls ADSL","FC RICHMOND NAVY U10 Girls ADSL","Striker Park #10","U10","Girls"
"STRIKERS 2008 NOFTSINGER U10 Girls ADSL","FC RICHMOND SKY U10 Girls ADSL","Striker Park #10","U10","Girls"
"POWHATAN FURY 08G U10 Girls ADSL","FC RICHMOND NAVY U10 Girls ADSL","Striker Park #10","U10","Girls"
"STRIKERS 2008 NOFTSINGER U10 Girls ADSL","POWHATAN FURY 08G U10 Girls ADSL","Striker Park #11","U10","Girls"
"STRIKERS 2008 ELITE U10 Girls ADSL","BRYC U10G U10 Girls ADSL","Striker Park #10","U10","Girls"
"STRIKERS 2008 JONES U10 Girls ADSL","BRYC U10G U10 Girls ADSL","Striker Park #09","U10","Girls"
"STRIKERS 2007 PREMIER BLACK U11 Girls ADSL","KICKERS WOODLAKE/RIVER CITY REIGN U11 Girls ADSL","West Creek #07 S/S","U11","Girls"
"STRIKERS 2007 ELITE BLACK U11 Girls ADSL","RSK CHESTERFIELD 2007 ELITE BLUE U11 Girls ADSL","Striker Park #04","U11","Girls"
"FC RICHMOND METRO U11 Girls ADSL","KICKERS SOUTH UKROP PARK PRIDE U11 Girls ADSL","Greenfield #1","U11","Girls"
"RSK CHESTERFIELD 2007 ELITE BLUE U11 Girls ADSL","POWHATAN FURY 07G U11 Girls ADSL","United Training Center #5","U11","Girls"
"POWHATAN FURY 07G U11 Girls ADSL","STRIKERS 2007 ELITE BLACK U11 Girls ADSL","Fighting Creek Park #1","U11","Girls"
"RSK CHESTERFIELD 2007 ELITE BLUE U11 Girls ADSL","FC RICHMOND METRO U11 Girls ADSL","United Training Center #5","U11","Girls"
"KICKERS SOUTH UKROP PARK PRIDE U11 Girls ADSL","STRIKERS 2007 PREMIER BLACK U11 Girls ADSL","Woodlake #3","U11","Girls"
"KICKERS WOODLAKE/RIVER CITY REIGN U11 Girls ADSL","FC RICHMOND METRO U11 Girls ADSL","Woodlake #3","U11","Girls"
"KICKERS WOODLAKE/RIVER CITY REIGN U11 Girls ADSL","KICKERS SOUTH UKROP PARK PRIDE U11 Girls ADSL","Woodlake #3","U11","Girls"
"STRIKERS 2007 PREMIER BLACK U11 Girls ADSL","POWHATAN FURY 07G U11 Girls ADSL","Striker Park #04","U11","Girls"
"STRIKERS 2007 ELITE BLACK U11 Girls ADSL","RSK CHESTERFIELD 2007 ELITE BLUE U11 Girls ADSL","West Creek #07 S/S","U11","Girls"
"RSK CHESTERFIELD 2007 ELITE BLUE U11 Girls ADSL","STRIKERS 2007 PREMIER BLACK U11 Girls ADSL","United Training Center #5","U11","Girls"
"KICKERS WOODLAKE/RIVER CITY REIGN U11 Girls ADSL","STRIKERS 2007 ELITE BLACK U11 Girls ADSL","Woodlake #3","U11","Girls"
"KICKERS SOUTH UKROP PARK PRIDE U11 Girls ADSL","KICKERS COLLEGIATE DASH U11 Girls ADSL","Woodlake #3","U11","Girls"
"FC RICHMOND METRO U11 Girls ADSL","STRIKERS 2007 ELITE BLACK U11 Girls ADSL","Striker Park #04","U11","Girls"
"STRIKERS 2007 PREMIER BLACK U11 Girls ADSL","STRIKERS 2007 ELITE BLACK U11 Girls ADSL","Striker Park #04","U11","Girls"
"POWHATAN FURY 07G U11 Girls ADSL","FC RICHMOND METRO U11 Girls ADSL","Fighting Creek Park #2","U11","Girls"
"KICKERS SOUTH UKROP PARK PRIDE U11 Girls ADSL","FC RICHMOND METRO U11 Girls ADSL","Woodlake #1","U11","Girls"
"RSK CHESTERFIELD 2007 ELITE BLUE U11 Girls ADSL","KICKERS WOODLAKE/RIVER CITY REIGN U11 Girls ADSL","United Training Center #5","U11","Girls"
"FC RICHMOND METRO U11 Girls ADSL","STRIKERS 2007 PREMIER BLACK U11 Girls ADSL","Greenfield #1","U11","Girls"
"KICKERS WOODLAKE/RIVER CITY REIGN U11 Girls ADSL","POWHATAN FURY 07G U11 Girls ADSL","Woodlake #3","U11","Girls"
"RSK CHESTERFIELD 2007 ELITE BLUE U11 Girls ADSL","KICKERS SOUTH UKROP PARK PRIDE U11 Girls ADSL","United Training Center #5","U11","Girls"
"STRIKERS 2007 PREMIER BLACK U11 Girls ADSL","KICKERS WOODLAKE/RIVER CITY REIGN U11 Girls ADSL","Striker Park #04","U11","Girls"
"STRIKERS 2007 ELITE BLACK U11 Girls ADSL","KICKERS SOUTH UKROP PARK PRIDE U11 Girls ADSL","Striker Park #04","U11","Girls"
"KICKERS SOUTH UKROP PARK PRIDE U11 Girls ADSL","STRIKERS 2007 PREMIER BLACK U11 Girls ADSL","Ukrop Park 1B","U11","Girls"
"KICKERS WOODLAKE/RIVER CITY REIGN U11 Girls ADSL","FC RICHMOND METRO U11 Girls ADSL","Woodlake #3","U11","Girls"
"POWHATAN FURY 07G U11 Girls ADSL","STRIKERS 2007 ELITE BLACK U11 Girls ADSL","Fighting Creek Park #2","U11","Girls"
"POWHATAN FURY 07G U11 Girls ADSL","RSK CHESTERFIELD 2007 ELITE BLUE U11 Girls ADSL","Fighting Creek Park #2","U11","Girls"
"KICKERS WOODLAKE/RIVER CITY REIGN U11 Girls ADSL","KICKERS COLLEGIATE DASH U11 Girls ADSL","Woodlake #3","U11","Girls"
"STRIKERS 2007 ELITE BLACK U11 Girls ADSL","RSK CHESTERFIELD 2007 ELITE BLUE U11 Girls ADSL","Capital Park #3","U11","Girls"
"STRIKERS 2007 PREMIER BLACK U11 Girls ADSL","POWHATAN FURY 07G U11 Girls ADSL","Capital Park #3","U11","Girls"
"FC RICHMOND METRO U11 Girls ADSL","RSK CHESTERFIELD 2007 ELITE BLUE U11 Girls ADSL","Greenfield #1","U11","Girls"
"STRIKERS 2006 PREMIER BLACK U12 Girls ADSL","FC RICHMOND METRO U12 Girls ADSL","Striker Park #04","U12","Girls"
"KICKERS COLLEGIATE DASH U12 Girls ADSL","STRIKERS 2006 PREMIER WHITE U12 Girls ADSL","Ukrop Park 1A","U12","Girls"
"POWHATAN FURY 06G U12 Girls ADSL","KICKERS SOUTH UKROP PARK SPIRIT U12 Girls ADSL","Fighting Creek Park #1","U12","Girls"
"FC RICHMOND METRO U12 Girls ADSL","KICKERS COLLEGIATE DASH U12 Girls ADSL","Greenfield #1","U12","Girls"
"STRIKERS 2006 PREMIER WHITE U12 Girls ADSL","POWHATAN FURY 06G U12 Girls ADSL","Striker Park #04","U12","Girls"
"FC RICHMOND METRO U12 Girls ADSL","POWHATAN FURY 06G U12 Girls ADSL","Greenfield #1","U12","Girls"
"KICKERS SOUTH UKROP PARK SPIRIT U12 Girls ADSL","STRIKERS 2006 PREMIER BLACK U12 Girls ADSL","Woodlake #3","U12","Girls"
