"Names","Street Address","City","State","Zip Code"
"Jefferson Houston Elementary School","1501 Cameron Street","Alexandria","VA","22314"
"Jefferson Middle School","801 7th Street","SW","Washington","DC"
"Jellef Full Size","3265 S Street Northwest,","Washington","DC","20007"
"Jelleff Recreation Center","3265 S Street","NW","Washington","DC"
"Jim Claffey","14716 Minneville Road","Woodbridge","VA","22193"
"John Champe HS","41535 Sacred Mountain Street","Aldie","VA","20105"
"John Champe HS","41535 Sacred Mountain Street","Aldie","VA","20105"
"John Champe HS","41535 Sacred Mountain Street","Aldie","VA","20105"
"John Lee Pratt Mem. Park","120 River Rd","Stafford County","VA","22405"
"Jones Branch Park","8008 Jones Branch Road","Tysons","VA","22102"
"Joseph M. Hensley Park","4200 Eisenhower Ave","Alexandria","VA","22304"
"Judith Resnick ES","7301 Hadley Farms Rd","Gaithersburg","MD","20877"
"Julius West MS","651 Great Falls Road","Rockville","MD","20850"
"Kenmore MS","200 S Carlin Springs Road","Arlington","VA","22204"
"Kent Island High School","900 Love Point Rd","Stevensville","MD","21666"
"Kettle Run High School","7403 Academic Ave","Nokesville","VA","20181"
"Key Middle School","6402 Franconia Road","Springfield","VA","22150"
"Key School","534 Hillsmere Drive","Annapolis","MD","21403"
"KIHS Bermuda","900 Love Point Rd","Stevensville","MD","21666"
"Kilmer Int","8100 Wolftrap Rd","Dunn Loring","VA","22182"
"Kincheloe","8000 Kincheloe Road","Clifton","VA","20124"
"Kinder Park","1 Gali Sanchez Way","Millersville","MD","21108"
"KING'S GRANT COMMUNITY PARK","13251 Fenway Lane","Upper Marlboro","MD","20772"
"Kings Pond LP","23715 Clarksburg Rd","Clarksburg","MD","20871"
"Lacey Center","3705 Crest Drive","Falls Church","Va 22042",
"Lake Braddock  Secondary School","9200 Burke Lake Road","Burke","Va 22015",
"Lake Braddock Park","Burke","VA","22015",
"Lake Braddock Secondary School","9200 Burke Lake Rd","Burke","VA","22015"
"Lake Fairfax","Lake Fairfax Park","Reston","VA","20191"
"Lake Newport Park","Reston Parkway &amp; Lake Newport Rd","Reston","VA","20190"
"Lake Ridge Middle School","12350 Mohican Rd","Woodbridge","VA","22192"
"Lake Shore Woods Road Complex","850 Woods Road","Pasadena","MD","21122"
"Lakelands Park","1368 Main Street","Gaithersburg","MD","20878"
"Lancaster Park","21550 Willows Road","Lexington Park","MD","20653"
"Langley Forks","Georgetown Pike (near Route 123)","McLean","VA",
"Langley HS","6520 Georgetown Pike","McLean","VA","22101"
"Lanier MS","3801 Jermantown Road","Fairfax","VA","22030"
"Lansdowne Park","18900 Kipheart Drive","Leesburg","VA","20176"
"Larry Graves","300 Hillwood Ave","Falls Church","VA","22042"
"Laurel Hill ES","8390 Laurel Crest Drive","Lorton","VA","22079"
"Laurel Spring Park field #1","5940 Radio Station Road","La Plata Md","MD","20646"
"Laurel Spring Regional Park","5940 Radio Station Road","La Plata","MD","20646"
"Laurel Springs","5940 Radio Station Road","La Plata Md","MD","20646"
"Laurel Springs Park","5940 Radio Station Rd","La Plata","MD","20646"
"Leaman Local Park","14021 Eternity Rd","Germantown","MD","20874"
"Lee District Park","6601 Telegraph Road","Alexandria","VA","22310"
"Lee District Park #4 Left","6601 Telegraph Road","Alexandria","VA","22310"
"Lee District Park #4 Right","6601 Telegraph Road","Alexandria","VA","22310"
"Lee High School","6540 FRANCONIA ROAD","Springfield","Va 22150",
"Lees Corner ES","Lees Corner Road","Chantilly","VA","22030"
"Leesburg Annex","Old Waterford Rd","Leesburg","VA","22075"
"Leesburg F.C. Complex (KMO)","1002 East Market St","Leesburg","VA","20197"
"Legion Field","345 Legion Drive","Warrenton","VA","20186"
"Legion Stadium","8802 Courthouse Road (Rt 208)","Spotsyvania","VA","22553"
"Legion Track","8802 Courthouse Road (Rt 208)","Spotsyvania","VA","22553"
"Leo Santabella","9830 Georgetown Pike","Great Falls","VA","22066"
"Lewinsville Center","1609 Great Falls St","McLean","VA","22101"
"Lewinsville Park","1659 Chainbridge Rd","McLean","VA","22101"
"Liberty Elementary School","25491 Riding Center Drive","South Riding","Va 20152",
"Liberty High School","5855 Bartholow Rd","Eldersburg","md 21784",
"Liberty High School","5855 Bartholow Rd","Eldersburg","md 21784",
"Limerick","1800 Limerick St","Alexandria","VA","22314"
"Limerick","1800 Limerick St","Alexandria","VA","22314"
"Lincoln ES","250 Madison Street","Frederick","MD","21701"
"Linganore High School","12013 Old Annapolis","Frederick","MD","20701"
"Linway Terrace Park","6246 Linway Terrace","McLean","VA","22101"
"Linway Terrace Park","6246 Linway Terrace","McLean","VA","22101"
"Little River ES","43464 Hyland Hills Street","South Riding","VA","20152"
"Lockmeade Park","1104 Riva Ridge Drive","Great Falls","VA","22066"
"Loisdale Park","7601 Loisdale Road","Springfield","VA","22150"
"Long Bridge Park","475 S Old Jefferson Davis Highway","Arlington","VA","22207"
"Long Park","4603 James Madison Hwy","Haymarket","VA","20169"
"Long Reach High School","6101 Old Dobbin Road","Columbia","MD","21045"
"Loriella Park","10910 Leavells Road","Fredericksburg","VA","22407"
"Loudoun County HS","415 Dry Mill Road SW","Leesburg","VA","20175"
"Loudoun Soccer Park","19798 Sycolin Road","Leesburg","VA","20177"
"Loudoun Valley High School","340 N Maple Avenue","Purcellville","VA","20132"
"Louise Archer ES","324 Nutley Street NW","Vienna","VA",
"Lower Potomac Park","9515 Richmond Highway","Lorton","VA","22079"
"Lucketts Park","14550 James Monroe Hwy","Lucketts","VA","20176"
"Luther Jackson",,,,
"Luther Jackson Middle School","3020 Gallows Road","Falls Church","VA","22042"
"Lynbrook ES","5801 Backlick Rd","Springfield","VA","22150"
"Lynbrook LP","8008 Newdale Road","Bethesda","MD","20814"
"Lyndora","43624 Lucketts Bridge Circle","Ashburn","VA","20148"
"Madiera School","VA",,,
