Home,Away
ALEX 05 Boys Black U13 Boys ODSL,DFC Scorpions U13 Boys ODSL
SOCA Augusta U12 Boys Premier U12 Boys SCSL,SOCA Cville U12 Boys Premier U12 Boys SCSL
SOCA Augusta U12 Boys Premier U12 Boys SCSL,NRU U12 Boys U12 Boys SCSL
SOCA Augusta U12 Boys Premier U12 Boys SCSL,CVU U12 Boys U12 Boys SCSL
SOCA Augusta U12 Boys Premier U12 Boys SCSL,SVU U12 Boys U12 Boys SCSL
SOCA Augusta U12 Boys Premier U12 Boys SCSL,Valley FC U12 Boys U12 Boys SCSL
SOCA Augusta U13 Boys Premier U13 Boys SCSL,SOCA Cville U13 Boys Premier U13 Boys SCSL
SOCA Augusta U13 Boys Premier U13 Boys SCSL,NRU U13 Boys U13 Boys SCSL
SOCA Augusta U13 Boys Premier U13 Boys SCSL,CVU U13 Boys U13 Boys SCSL
SOCA Augusta U13 Boys Premier U13 Boys SCSL,SVU U13 Boys U13 Boys SCSL
SOCA Augusta U13 Boys Premier U13 Boys SCSL,Valley FC U13 Boys U13 Boys SCSL
SOCA Augusta U15 Boys Premier U15 Boys SCSL,SOCA Cville U15 Boys Premier U15 Boys SCSL
SOCA Augusta U15 Boys Premier U15 Boys SCSL,NRU U14 Boys Blue U15 Boys SCSL
SOCA Augusta U15 Boys Premier U15 Boys SCSL,CVU U15 Boys Premier U15 Boys SCSL
SOCA Augusta U15 Boys Premier U15 Boys SCSL,SVU U15 Boys U15 Boys SCSL
SOCA Augusta U15 Boys Premier U15 Boys SCSL,Valley FC U15 Boys U15 Boys SCSL
SOCA Augusta U16/17 Boys Premier U17 Boys SCSL,SOCA Cville U16 Boys Premier U17 Boys SCSL
SOCA Augusta U16/17 Boys Premier U17 Boys SCSL,CVU U16 Boys U17 Boys SCSL
SOCA Augusta U16/17 Boys Premier U17 Boys SCSL,NRU U15 Boys Premier U17 Boys SCSL
SOCA Augusta U16/17 Boys Premier U17 Boys SCSL,SVU U16/17 Boys U17 Boys SCSL
