"Home","Away","Field"
"Sky Blue - PDA U-18/19 Girls USDA","Washington Spirit Academy - Virginia U-18/19 Girls USDA","PDA #3 "
"Oakwood Soccer Club U-18/19 Girls USDA","New York City FC U-18/19 Girls USDA","TD Bank OSP #1 (front field)"
"Cedar Stars Academy - Monmouth U-15 Girls USDA","Virginia Development Academy U-15 Girls USDA","Capelli Sport Complex - Field 3 FS"
"Michigan Hawks U-14 Girls USDA","Midwest United FC U-14 Girls USDA","Schoolcraft Turf"
"Placer United SC U-18/19 Girls USDA","Burlingame Soccer Club U-18/19 Girls USDA","Mahany Park"
"Michigan Hawks U-15 Girls USDA","Midwest United FC U-15 Girls USDA","Schoolcraft Turf"
"FC Kansas City U-14 Girls USDA","Lonestar SC Academy U-14 Girls USDA","Field 1"
"FC Kansas City U-15 Girls USDA","Lonestar SC Academy U-15 Girls USDA","Field 2"
"LAFC Slammers U-14 Girls USDA","Real So Cal U-14 Girls USDA","Turf"
"So Cal Blues Soccer Club U-14 Girls USDA","Pateadores U-14 Girls USDA","Vanguard University"
"SPORTING Blue Valley U-14 Girls USDA","Houston Dash U-14 Girls USDA","Field #11"
"California Thorns FC U-14 Girls USDA","San Jose Earthquakes U-14 Girls USDA","Bellarmine College Prep - Brigit Whims Memorial Field - Soccer"
"Los Angeles Premier Futbol Club U-14 Girls USDA","LA Galaxy U-14 Girls USDA","La Canada Stadium - Turf"
"PA Classics U-14 Girls USDA","Penn Fusion Soccer Academy U-14 Girls USDA","Field 1"
"FC Kansas City U-16/17 Girls USDA","Lonestar SC Academy U-16/17 Girls USDA","Field 1"
"FC Kansas City U-18/19 Girls USDA","Lonestar SC Academy U-18/19 Girls USDA","Field 2"
"FC United Soccer Club U-14 Girls USDA","Eclipse Select Soccer Club U-14 Girls USDA","Grass Field #8"
"FC United Soccer Club U-16/17 Girls USDA","Eclipse Select Soccer Club U-16/17 Girls USDA","Grass Field #9"
"LAFC Slammers U-15 Girls USDA","Real So Cal U-15 Girls USDA","Turf"
"NC Courage U-14 Girls USDA","Charlotte Soccer Academy U-14 Girls USDA","WRAL #5"
"NC Courage U-16/17 Girls USDA","Charlotte Soccer Academy U-16/17 Girls USDA","WRAL #6"
"So Cal Blues Soccer Club U-15 Girls USDA","Pateadores U-15 Girls USDA","Vanguard University"
"SPORTING Blue Valley U-15 Girls USDA","Houston Dash U-15 Girls USDA","Field #12"
"SPORTING Blue Valley U-16/17 Girls USDA","Houston Dash U-16/17 Girls USDA","Field #11"
"California Thorns FC U-15 Girls USDA","San Jose Earthquakes U-15 Girls USDA","Bellarmine College Prep - Brigit Whims Memorial Field - Soccer"
"Los Angeles Premier Futbol Club U-15 Girls USDA","LA Galaxy U-15 Girls USDA","La Canada Stadium - Turf"
"PA Classics U-15 Girls USDA","Penn Fusion Soccer Academy U-15 Girls USDA","Field 1"
"LAFC Slammers U-16/17 Girls USDA","Real So Cal U-16/17 Girls USDA","Turf"
"NC Courage U-15 Girls USDA","Charlotte Soccer Academy U-15 Girls USDA","WRAL #5"
"FC United Soccer Club U-15 Girls USDA","Eclipse Select Soccer Club U-15 Girls USDA","Grass Field #8"
"FC United Soccer Club U-18/19 Girls USDA","Eclipse Select Soccer Club U-18/19 Girls USDA","Grass Field #9"
"NC Courage U-18/19 Girls USDA","Charlotte Soccer Academy U-18/19 Girls USDA","WRAL #6"
"So Cal Blues Soccer Club U-16/17 Girls USDA","Pateadores U-16/17 Girls USDA","Vanguard University"
"California Thorns FC U-16/17 Girls USDA","San Jose Earthquakes U-16/17 Girls USDA","Bellarmine College Prep - Brigit Whims Memorial Field - Soccer"
"PA Classics U-16/17 Girls USDA","Penn Fusion Soccer Academy U-16/17 Girls USDA","Field 1"
"SPORTING Blue Valley U-18/19 Girls USDA","Houston Dash U-18/19 Girls USDA","Field #12"
"Los Angeles Premier Futbol Club U-16/17 Girls USDA","LA Galaxy U-16/17 Girls USDA","La Canada Stadium - Turf"
"Michigan Hawks U-16/17 Girls USDA","Midwest United FC U-16/17 Girls USDA","Schoolcraft Turf"
"LAFC Slammers U-18/19 Girls USDA","Real So Cal U-18/19 Girls USDA","Turf"
"PSV Union Football Club U-14 Girls USDA","Lamorinda Soccer Club U-14 Girls USDA","Mayfield South Field (turf)"
"PSV Union Football Club U-16/17 Girls USDA","Lamorinda Soccer Club U-16/17 Girls USDA","Mayfield North Field (turf)"
"California Thorns FC U-18/19 Girls USDA","San Jose Earthquakes U-18/19 Girls USDA","Bellarmine College Prep - Brigit Whims Memorial Field - Soccer"
"Michigan Hawks U-18/19 Girls USDA","Midwest United FC U-18/19 Girls USDA","Schoolcraft Turf"
"PA Classics U-18/19 Girls USDA","Penn Fusion Soccer Academy U-18/19 Girls USDA","Field 1"
"So Cal Blues Soccer Club U-18/19 Girls USDA","Pateadores U-18/19 Girls USDA","Vanguard University"
"Los Angeles Premier Futbol Club U-18/19 Girls USDA","LA Galaxy U-18/19 Girls USDA","La Canada Stadium - Turf"
"PSV Union Football Club U-15 Girls USDA","Lamorinda Soccer Club U-15 Girls USDA","Mayfield South Field (turf)"
"PSV Union Football Club U-18/19 Girls USDA","Lamorinda Soccer Club U-18/19 Girls USDA","Mayfield North Field (turf)"
"LAFC Slammers U-14 Girls USDA","Placer United SC U-14 Girls USDA","Turf"
"La Roca Futbol Club U-14 Girls USDA","Crossfire Premier U-14 Girls USDA","RAC Field 16"
"Legends FC U-14 Girls USDA","Lamorinda Soccer Club U-14 Girls USDA","Silverlakes #2"
"West Coast Futbol Club U-14 Girls USDA","San Jose Earthquakes U-14 Girls USDA","Orange County Great Park Field #4"
"LAFC Slammers U-15 Girls USDA","Placer United SC U-15 Girls USDA","Turf"
"LA Galaxy San Diego U-14 Girls USDA","PSV Union Football Club U-14 Girls USDA","Army and Navy Academy"
"Los Angeles Premier Futbol Club U-14 Girls USDA","Burlingame Soccer Club U-14 Girls USDA","La Canada Stadium - Turf"
"Michigan Hawks U-18/19 Girls USDA","Eclipse Select Soccer Club U-18/19 Girls USDA","Schoolcraft Dome"
"Nationals U-14 Girls USDA","Indiana Fire Academy U-14 Girls USDA","Outdoor"
"Sky Blue - PDA U-14 Girls USDA","PA Classics U-14 Girls USDA","PDA #3 "
"Virginia Development Academy U-14 Girls USDA","Washington Spirit Academy - Virginia U-14 Girls USDA","Howison #3 (Turf)"
"Portland Thorns FC U-14 Girls USDA","Reign Academy U-14 Girls USDA","Field 6"
"Portland Thorns FC U-16/17 Girls USDA","Reign Academy U-16/17 Girls USDA","Field 5"
"Sky Blue - NYSC U-14 Girls USDA","FC Stars U-14 Girls USDA","Manhattanville College Turf field "
"Washington Spirit Academy - Baltimore Armour U-14 Girls USDA","Cedar Stars Academy - Monmouth U-14 Girls USDA","Maryland SoccerPlex 6"
"Legends FC U-15 Girls USDA","Lamorinda Soccer Club U-15 Girls USDA","Silverlakes #2"
"West Coast Futbol Club U-15 Girls USDA","San Jose Earthquakes U-15 Girls USDA","Orange County Great Park Field #4"
"La Roca Futbol Club U-15 Girls USDA","Crossfire Premier U-15 Girls USDA","RAC Field 16"
"FC Virginia U-14 Girls USDA","Penn Fusion Soccer Academy U-14 Girls USDA","Evergreen Field 1"
"FC Virginia U-15 Girls USDA","Penn Fusion Soccer Academy U-15 Girls USDA","Evergreen Field 2"
"LAFC Slammers U-16/17 Girls USDA","Placer United SC U-16/17 Girls USDA","Turf"
"LA Galaxy San Diego U-15 Girls USDA","PSV Union Football Club U-15 Girls USDA","Army and Navy Academy"
"Los Angeles Premier Futbol Club U-15 Girls USDA","Burlingame Soccer Club U-15 Girls USDA","La Canada Stadium - Turf"
"Nationals U-15 Girls USDA","Indiana Fire Academy U-15 Girls USDA","Outdoor"
"New York City FC U-14 Girls USDA","Boston Breakers Academy U-14 Girls USDA","WCFC Complex - Field 2"
"Real So Cal U-14 Girls USDA","Albion SC U-14 Girls USDA","Pierce College Shepard Stadium"
"Sky Blue - NYSC U-15 Girls USDA","FC Stars U-15 Girls USDA","Manhattanville College Turf field "
"Sky Blue - PDA U-15 Girls USDA","PA Classics U-15 Girls USDA","PDA #3 "
"Virginia Development Academy U-15 Girls USDA","Washington Spirit Academy - Virginia U-15 Girls USDA","Howison #3 (Turf)"
"Portland Thorns FC U-15 Girls USDA","Reign Academy U-15 Girls USDA","Field 6"
"Washington Spirit Academy - Baltimore Armour U-15 Girls USDA","Cedar Stars Academy - Monmouth U-15 Girls USDA","Maryland SoccerPlex 6"
"Portland Thorns FC U-18/19 Girls USDA","Reign Academy U-18/19 Girls USDA","Field 5"
"Legends FC U-16/17 Girls USDA","Lamorinda Soccer Club U-16/17 Girls USDA","Silverlakes #2"
"Michigan Hawks U-16/17 Girls USDA","Eclipse Select Soccer Club U-16/17 Girls USDA","Schoolcraft Dome"
"La Roca Futbol Club U-16/17 Girls USDA","Crossfire Premier U-16/17 Girls USDA","RAC Field 16"
"New York City FC U-15 Girls USDA","Boston Breakers Academy U-15 Girls USDA","WCFC Complex - Field 1"
"West Coast Futbol Club U-16/17 Girls USDA","San Jose Earthquakes U-16/17 Girls USDA","Orange County Great Park Field #4"
"FC Dallas U-14 Girls USDA","Houston Dash U-14 Girls USDA","Toyota Soccer Center - Field 7"
"FC Dallas U-16/17 Girls USDA","Houston Dash U-16/17 Girls USDA","Toyota Soccer Center - Field 8"
"FC Virginia U-16/17 Girls USDA","Penn Fusion Soccer Academy U-16/17 Girls USDA","Evergreen Field 1"
"LAFC Slammers U-18/19 Girls USDA","Placer United SC U-18/19 Girls USDA","Turf"
"LA Galaxy San Diego U-16/17 Girls USDA","PSV Union Football Club U-16/17 Girls USDA","Army and Navy Academy"
"Nationals U-16/17 Girls USDA","Indiana Fire Academy U-16/17 Girls USDA","Outdoor"
"Real So Cal U-15 Girls USDA","Albion SC U-15 Girls USDA","Pierce College Shepard Stadium"
"Sky Blue - NYSC U-16/17 Girls USDA","FC Stars U-16/17 Girls USDA","Manhattanville College Turf field "
"Virginia Development Academy U-16/17 Girls USDA","Washington Spirit Academy - Virginia U-16/17 Girls USDA","Howison #3 (Turf)"
"Los Angeles Premier Futbol Club U-16/17 Girls USDA","Burlingame Soccer Club U-16/17 Girls USDA","La Canada Stadium - Turf"
"Sky Blue - PDA U-16/17 Girls USDA","PA Classics U-16/17 Girls USDA","PDA #3 "
"Washington Spirit Academy - Baltimore Armour U-16/17 Girls USDA","Cedar Stars Academy - Monmouth U-16/17 Girls USDA","Maryland SoccerPlex 6"
"Legends FC U-18/19 Girls USDA","Lamorinda Soccer Club U-18/19 Girls USDA","Silverlakes #2"
"Michigan Hawks U-15 Girls USDA","Eclipse Select Soccer Club U-15 Girls USDA","Schoolcraft Dome"
"New York City FC U-16/17 Girls USDA","Boston Breakers Academy U-16/17 Girls USDA","WCFC Complex - Field 1"
"La Roca Futbol Club U-18/19 Girls USDA","Crossfire Premier U-18/19 Girls USDA","RAC Field 16"
"FC Virginia U-18/19 Girls USDA","Penn Fusion Soccer Academy U-18/19 Girls USDA","Evergreen Field 1"
"LA Galaxy San Diego U-18/19 Girls USDA","PSV Union Football Club U-18/19 Girls USDA","Army and Navy Academy"
"Nationals U-18/19 Girls USDA","Indiana Fire Academy U-18/19 Girls USDA","Outdoor"
"Real So Cal U-16/17 Girls USDA","Albion SC U-16/17 Girls USDA","Pierce College Shepard Stadium"
"Sky Blue - NYSC U-18/19 Girls USDA","FC Stars U-18/19 Girls USDA","Manhattanville College Turf field "
"Virginia Development Academy U-18/19 Girls USDA","Washington Spirit Academy - Virginia U-18/19 Girls USDA","Howison #3 (Turf)"
"West Coast Futbol Club U-18/19 Girls USDA","San Jose Earthquakes U-18/19 Girls USDA","Orange County Great Park Field #4"
"FC Dallas U-15 Girls USDA","Houston Dash U-15 Girls USDA","Toyota Soccer Center - Field 8"
"FC Dallas U-18/19 Girls USDA","Houston Dash U-18/19 Girls USDA","Toyota Soccer Center - Field 7"
"Michigan Hawks U-14 Girls USDA","Eclipse Select Soccer Club U-14 Girls USDA","Schoolcraft Dome"
"New York City FC U-18/19 Girls USDA","Boston Breakers Academy U-18/19 Girls USDA","WCFC Complex - Field 5"
"Washington Spirit Academy - Baltimore Armour U-18/19 Girls USDA","Cedar Stars Academy - Monmouth U-18/19 Girls USDA","Maryland SoccerPlex 6"
"Los Angeles Premier Futbol Club U-18/19 Girls USDA","Burlingame Soccer Club U-18/19 Girls USDA","La Canada Stadium - Turf"
