"Home","Away","Field"
"Carolina Rapids ECNL U17","BRYC Elite Academy ECNL U17","Bailey Road Park - Field 2 (lower)"
"NC Fusion ECNL U17","McLean YSA ECNL U17","BP Field - BP 03 Wrangler"
"NCFC Youth ECNL U17","South Carolina United ECNL U17","Bryan Park - Field 11"
"Carolina Rapids ECNL U17","McLean YSA ECNL U17","Ramblewood - Field 8"
"NC Fusion ECNL U17","BRYC Elite Academy ECNL U17","BP Field - Field 4"
"NCFC Youth ECNL U17","Carolina Elite Soccer Academy ECNL U17","Bryan Park - Field 10"
"Richmond United ECNL U17","South Carolina United ECNL U17","River City Sportsplex - Field 11"
"Carolina Rapids ECNL U17","NC Fusion ECNL U17","Bailey Road Park - Field 2 (lower)"
"South Carolina United ECNL U17","Carolina Elite Soccer Academy ECNL U17","River Bluff High School Stadium - Stadium"
"Richmond United ECNL U17","Carolina Rapids ECNL U17","Ukrop Park - Turf Field 2"
"Carolina Elite Soccer Academy ECNL U17","BRYC Elite Academy ECNL U17","Mesa Complex - Field 5"
"South Carolina United ECNL U17","McLean YSA ECNL U17","SCUFC Monticello Road Complex - Stadium B"
"NCFC Youth ECNL U17","NC Fusion ECNL U17","WRAL Soccer Center - Travers Lasik"
"NCFC Youth ECNL U17","Carolina Rapids ECNL U17","WRAL Soccer Center - Stadium"
"South Carolina United ECNL U17","BRYC Elite Academy ECNL U17","SCUFC Monticello Road Complex - Stadium B"
"Carolina Elite Soccer Academy ECNL U17","McLean YSA ECNL U17","Mesa Complex - Field 5"
"Richmond United ECNL U17","NC Fusion ECNL U17","Ukrop Park - Turf Field 2"
"Carolina Rapids ECNL U18/U19","Carolina Elite Soccer Academy ECNL U18/U19","Matthews Sportsplex - Field 1"
"Richmond United ECNL U18/U19","BRYC Elite Academy ECNL U18/U19","West Creek - Field 10"
"BRYC Elite Academy ECNL U18/U19","McLean YSA ECNL U18/U19","Robinson High School - Upper Turf"
"NC Fusion ECNL U18/U19","Carolina Rapids ECNL U18/U19","BBandT Soccer Park - Field 1"
"NCFC Youth ECNL U18/U19","Richmond United ECNL U18/U19","WRAL Soccer Center - Powerade #3"
