"GMDATE","GMTIME","GAMECODE","HOME_TEAMCODE","HOME_TEAM","FINAL1","FINAL2","AWAY_TEAMCODE","AWAY_TEAM","FIELD","DIVISION","LEAGUE"
"09/16/2017","12:00 PM","2358","OD02145B","MSC Lions 02",9,0,"OD02138B","ALEX 03 Boys Blue","Emmanuel Christian School Field#1","U15-16 Division B1","ODSL"
"09/16/2017","02:00 PM","1225","OD0539B","MSC Lions 06",3,0,"OD0657B","WBSC STRIKERS 06B BLUE","Emmanuel Christian School Field#1","U12 Division B1","ODSL"
"09/16/2017","03:30 PM","374","OD0829B","MSC Lions 08 Black",5,2,"OD0817B","WIN 08B Orange","Emmanuel Christian School Field#1","U10 Division B2","ODSL"
"09/23/2017","12:30 PM","1661","OD0590B","MSC Lions 05",8,0,"OD0511B","BRYC United","Emmanuel Christian School Field#1","U13 Division B1","ODSL"
"09/23/2017","02:00 PM","309","OD0822B","MSC Lions 08 Gold",15,0,"OD0818B","ABGC AUFC 08B Red","Emmanuel Christian School Field#1","U10 Division B1","ODSL"
"09/23/2017","03:30 PM","359","OD0829B","MSC Lions 08 Black",3,2,"OD0812B","LOUD 08B Gray","Emmanuel Christian School Field#1","U10 Division B2","ODSL"
"09/30/2017","12:30 PM","362","OD0829B","MSC Lions 08 Black",6,1,"OD0832B","CFC 08B Red","Emmanuel Christian School Field#1","U10 Division B2","ODSL"
"09/30/2017","02:00 PM","1210","OD0539B","MSC Lions 06",3,1,"OD0663B","RWFC Gremio USA","Emmanuel Christian School Field#1","U12 Division B1","ODSL"
"09/30/2017","03:30 PM","312","OD0822B","MSC Lions 08 Gold",7,1,"OD0807B","BRYC TigerSharks","Emmanuel Christian School Field#1","U10 Division B1","ODSL"
"10/14/2017","02:00 PM","1671","OD0590B","MSC Lions 05",7,0,"OD0575B","DFC Scorpions","Emmanuel Christian School Field#1","U13 Division B1","ODSL"
"10/14/2017","03:30 PM","2355","OD02145B","MSC Lions 02",3,3,"OD03131B","IFC Eagles","Emmanuel Christian School Field#1","U15-16 Division B1","ODSL"
"10/21/2017","12:00 PM","2366","OD02145B","MSC Lions 02",4,0,"OD0276B","SCSL Storm","Emmanuel Christian School Field#1","U15-16 Division B1","ODSL"
"10/28/2017","02:00 PM","1219","OD0539B","MSC Lions 06",7,0,"OD0655B","TAFC Team America All Stars Jr","Emmanuel Christian School Field#1","U12 Division B1","ODSL"
"10/28/2017","03:30 PM","320","OD0822B","MSC Lions 08 Gold",8,2,"OD0805B","ARL 08B Silver","Emmanuel Christian School Field#1","U10 Division B1","ODSL"
"11/04/2017","02:00 PM","1222","OD0539B","MSC Lions 06",3,0,"OD0524B","IFC United","Emmanuel Christian School Field#1","U12 Division B1","ODSL"
"11/04/2017","03:30 PM","324","OD0822B","MSC Lions 08 Gold",2,2,"OD0800B","ALEX 08 Boys Black","Emmanuel Christian School Field#1","U10 Division B1","ODSL"
"11/11/2017","02:00 PM","1695","OD0590B","MSC Lions 05",16,1,"OD0526B","LOUD 05B Gray","Emmanuel Christian School Field#1","U13 Division B1","ODSL"
"09/24/2017","12:00 PM","2412","OD03123G","OCRA Freedom",3,0,"OD03129G","CFC 03G Soth","Lake of the Woods Field 1","U15-16 Division G1","ODSL"
"10/21/2017","12:00 PM","2423","OD03123G","OCRA Freedom",0,3,"OD03118G","CHAN Spirit 03 Blue","Lake of the Woods Field 1","U15-16 Division G1","ODSL"
"11/05/2017","12:00 PM","2432","OD03123G","OCRA Freedom",2,2,"OD03130G","GSC 03 Girls","Lake of the Woods Field 1","U15-16 Division G1","ODSL"
"11/12/2017","01:00 PM","2402","OD03123G","OCRA Freedom",0,1,"OD02146G","PWSI Courage Girls 2002 Pride","Lake of the Woods Field 1","U15-16 Division G1","ODSL"
"09/10/2017","11:00 AM","1302","OD0662B","PAC Elite 06 Gold",3,2,"OD0648B","VYS O6B Silver","Luther Jackson MS Field #3","U12 Division B3","ODSL"
"09/10/2017","03:00 PM","1655","OD0484B","PAC Elite 05 Gold",3,6,"OD0594B","PWSI Courage Boys 2005 Classic","Shrevewood ES #1","U13 Division B1","ODSL"
"09/10/2017","04:30 PM","2153","OD0379B","PAC Elite 04 Gold",1,10,"OD04117B","PWSI Courage Boys 2004 Classic","Shrevewood ES #1","U14 Division B2","ODSL"
