"Names","Street.Address","City","State","Zip.Code"
"Four-H Education Center","Harmony Hollow Road","Front Royal","VA","22630"
"Franconia Park","Bowie Drive","Springfield","VA","22150"
"Franklin Glen","Springhaven Road","Chantilly","VA","22051"
"Franklin Intermediate","3300 Lees Corner Rd","Chantilly","VA","20151"
"Franklin Park","17501 Franklin Park Dr","Purcellville","VA","20132"
"Fred Crabtree Park","2791 Fox Mill Rd","Herndon","VA","20171"
"Frederick Douglass","100 Cedarmeade Ave","Winchester","VA","22601"
"Fredericksburg Academy","10800 Academy Drive","Fredericksburg","VA","22408"
"Freedom Hill ES","1945 Lord Fairfax Road","Vienna","VA",
"Freedom HS","25450 Riding Center Drive","South Riding","VA","20152"
"Freedom Middle School","7315 Smith Station Road","Fredericksburg","VA","22407"
"Freedom Park","101 Colonel Grenata Circle","Leesburg","VA","20175"
"Friendship","627 N Pleasent Valley RD","Winchester","VA","22601"
"Frost MS","Pickett Road","Fairfax","VA","22031"
"Ft. Belvior","VA",,,
"Ft. Grebel","Martin Luther King Ave &amp; Chesapeake St SW","Washington","DC",
"Ft. Ward Park","4301 West Braddock Road","Alexandria","VA","22314"
"Garrisonville ES (GEMS)","100 Wood Drive","Stafford","VA","22556"
"George Marshall High School","7731 Leesburg Pike","Falls Church","VA","22043"
"George Mason HS","Rt 7/Leesburg Pike by I-66","Falls Church","VA","22043"
"George Washington Middle School","1005 Mount Vernon Avenue","Alexandria","VA",
"George Washington Rec Center","8426 Old Mt Vernon Road","Alexandria","VA","22309"
"George Washington University","Riverside Parkway","VA",,
"Glasgow MS","4101 Fairfax Parkway","Alexabdria","VA",
"Godwin Middle School","14800 Darbydale Avenue","Woodbridge","VA","22193"
"Grand Hamptons","Safa Street","Herndon","VA","20170"
"Grange Park","9840 Georgetown Pike","Great Falls","VA","20066"
"Great Meadows","VA",,,
"Greenbriar","Stringfellow Road","Chantilly","VA","22030"
"Greenbriar Park","2700 Greenbrier Street","Arlington","VA","22207"
"Greensprings Village","7400 D Spring Village Dr","Springfield","VA","22150"
"Grist Mill Park","4710 Mt Vernon Memorial Highway","Alexandria","VA","22309"
"Grove Field","55 Hamilton Street","Frederick","MD","21701"
"Gunston ES","10100 Gunston Road","Lorton","VA","22079"
"Gunston MS","1401 S 28th Street","Arlington","VA",
"GWU, Mt Vernon Campus","2100 Foxhall Rd","NW","Washington","DC"
"H-B Woodlawn","4100 N Vacation Lane","Arlington","VA","22207"
"Hagerstown Soccer Complex","13317 Cearfoss Pike","Hagerstown","MD","21740"
"Haley Smith","corner of Van Buren and Herndon Parkway","Herndon","VA","20170"
"Halmos Park","16981 Hoskinson Road","Poolesville","MD","20837"
"Hammond Middle School","4646 Seminary Road","Alexandria","VA","22304"
"Hammond Valley","VA",,,
"Handley HS","425 Handley Blvd","Winchester","VA","22601"
"Hardy field","45th and Q Street NW","Washington","DC",
"Harmony MS","38174 West Colonial Highway","Hamilton","VA","20158"
"Harmony MS","38174 West Colonial Highway","Hamilton","VA","20158"
"Harper Park MS","701 Potomac Station Drive","Leesburg","VA","20176"
"Harrison Rd Convience Center","VA",,,
"Hartwood ES","VA",,,
"Hayfield ES","7633 Telegraph Road","Alexandria","VA","22315"
"Hayfield High School","7630 Telegraph Road","Alexandria","VA","22315"
"Hearst Field","3950 37th St","NW","Washington","DC"
"Hellwig","14420 Bristow Road","Manassas","VA","20112"
"Hensley","4200 Eisenhower Ave","Alexandria","VA","22304"
"Herndon Community Center","814 Ferndale Avenue","Herndon","VA","20172"
"Herndon ES","Dranesville Rd","Herndon","VA","20170"
"Herndon High School","700 Bennett Street","Herndon","Va 20170",
"Highland School","597 Broadview Ave","Warrenton","VA","20187"
"Hilda J. Barbour","Westminster Drive","Front Royal","VA","22630"
"Hill School","VA",,,
"Hollin Meadows","2310 Nordock Place","Alexandria","VA","22306"
"Hollymead ES","2775 Powell Creek Drive","Charlottesville","VA","22911"
"Holmes MS","6525 Montrose Street","Alexandria","VA","22312"
"Hooes Road Park","7233 Hooes Road","Springfield","VA","22150"
"Hotspur Park","11309 Tidewater Trail","Fredericksburg","VA","22408"
"Howison Homestead Park","14716 Minnieville Road","Woodbridge","VA","22193"
"Hunter Woods Park","2503 Reston Parkway","Reston","VA","20191"
"Hutchison Park","13209 Parcher Avenue","Herndon","VA","20170"
"Hutchison School","13209 Parcher Ave","Herndon","Va 20170",
"Hylton Boys and Girls Club","5070 Dale Blvd","Dale City","VA","22193"
"Ida Lee Park","60 Ida Lee Drive","Leesburg","VA","20175"
"Idylwood Park","7715 Virginia Ln","Falls Church","VA","22043"
"Island Creek ES","7855 Morning View Lane","Alexandria","VA","22315"
"J Frank Hillyard Middle School","226 Hawks Hill Drive","Broadway","VA","22815"
