Field,Team1,Team2,Age.Group,Gender
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 05 Boys White U15 Boys SCSL,Luray Valley U13 U15 Boys SCSL,U15,Boys
Trevilians Elementary #1,Madison U13 U15 Boys SCSL,Louisa FC U13/15 U15 Boys SCSL,U15,Boys
Ridgeview #2,SOCA Cville 05 Boys Blue U15 Boys SCSL,SOCA Aug 05/04 Boys Classic U15 Boys SCSL,U15,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 05 Boys Blue U15 Boys SCSL,Madison U13 U15 Boys SCSL,U15,Boys
Luray High School #1,Luray Valley U13 U15 Boys SCSL,SOCA Aug 05/04 Boys Classic U15 Boys SCSL,U15,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 05 Boys White U15 Boys SCSL,Louisa FC U13/15 U15 Boys SCSL,U15,Boys
Luray High School #1,SOCA Cville 05 Boys Blue U15 Boys SCSL,Luray Valley U13 U15 Boys SCSL,U15,Boys
Hoover Ridge Red Barn,SOCA Cville 05 Boys White U15 Boys SCSL,Madison U13 U15 Boys SCSL,U15,Boys
Trevilians Elementary #1,Louisa FC U13/15 U15 Boys SCSL,SOCA Aug 05/04 Boys Classic U15 Boys SCSL,U15,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 05 Boys Blue U15 Boys SCSL,SOCA Cville 05 Boys White U15 Boys SCSL,U15,Boys
Ridgeview #2,Madison U13 U15 Boys SCSL,SOCA Aug 05/04 Boys Classic U15 Boys SCSL,U15,Boys
Luray High School #1,Luray Valley U13 U15 Boys SCSL,Louisa FC U13/15 U15 Boys SCSL,U15,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 05 Boys Blue U15 Boys SCSL,Louisa FC U13/15 U15 Boys SCSL,U15,Boys
Luray High School #1,Madison U13 U15 Boys SCSL,Luray Valley U13 U15 Boys SCSL,U15,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 3),SOCA Cville 05 Boys White U15 Boys SCSL,SOCA Aug 05/04 Boys Classic U15 Boys SCSL,U15,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 05 Boys Blue U15 Boys SCSL,SOCA Aug 05/04 Boys Classic U15 Boys SCSL,U15,Boys
Luray High School #1,SOCA Cville 05 Boys White U15 Boys SCSL,Luray Valley U13 U15 Boys SCSL,U15,Boys
Hoover Ridge Red Barn,Madison U13 U15 Boys SCSL,Louisa FC U13/15 U15 Boys SCSL,U15,Boys
VSDB #1,Luray Valley U13 U15 Boys SCSL,SOCA Aug 05/04 Boys Classic U15 Boys SCSL,U15,Boys
Trevilians Elementary #1,SOCA Cville 05 Boys White U15 Boys SCSL,Louisa FC U13/15 U15 Boys SCSL,U15,Boys
Hoover Ridge Large,SOCA Cville 05 Boys Blue U15 Boys SCSL,Madison U13 U15 Boys SCSL,U15,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 2),SOCA Cville 05 Boys Blue U15 Boys SCSL,SOCA Cville 05 Boys White U15 Boys SCSL,U15,Boys
Hoover Ridge Large,Madison U13 U15 Boys SCSL,SOCA Aug 05/04 Boys Classic U15 Boys SCSL,U15,Boys
z - Charlottesville,SOCA Cville 05 Boys White U15 Boys SCSL,Madison U13 U15 Boys SCSL,U15,Boys
Trevilians Elementary #1,Luray Valley U13 U15 Boys SCSL,Louisa FC U13/15 U15 Boys SCSL,U15,Boys
z - Charlottesville,SOCA Cville 05 Boys Blue U15 Boys SCSL,Luray Valley U13 U15 Boys SCSL,U15,Boys
Ridgeview #1,Louisa FC U13/15 U15 Boys SCSL,SOCA Aug 05/04 Boys Classic U15 Boys SCSL,U15,Boys
Zions Crossroads #1,FYSA U14 Boys U15 Boys SCSL,Nelson U15 Boys U15 Boys SCSL,U15,Boys
Greene County Community Park (GCCP) Rear,Madison U15 Boys U15 Boys SCSL,GFC United U14 Boys U15 Boys SCSL,U15,Boys
Greene County Community Park (GCCP) Rear,Orange Fire 05/04 Boys U15 Boys SCSL,GFC United U14 Boys U15 Boys SCSL,U15,Boys
Hoover Ridge Large,Madison U15 Boys U15 Boys SCSL,Nelson U15 Boys U15 Boys SCSL,U15,Boys
Booster Park #1,FYSA U14 Boys U15 Boys SCSL,Orange Fire 05/04 Boys U15 Boys SCSL,U15,Boys
Rockfish River ES,GFC United U14 Boys U15 Boys SCSL,Nelson U15 Boys U15 Boys SCSL,U15,Boys
Booster Park #1,Madison U15 Boys U15 Boys SCSL,Orange Fire 05/04 Boys U15 Boys SCSL,U15,Boys
Zions Crossroads #1,FYSA U14 Boys U15 Boys SCSL,GFC United U14 Boys U15 Boys SCSL,U15,Boys
Booster Park #1,Orange Fire 05/04 Boys U15 Boys SCSL,Nelson U15 Boys U15 Boys SCSL,U15,Boys
Hoover Ridge Large,FYSA U14 Boys U15 Boys SCSL,Madison U15 Boys U15 Boys SCSL,U15,Boys
Rockfish River ES,Orange Fire 05/04 Boys U15 Boys SCSL,Nelson U15 Boys U15 Boys SCSL,U15,Boys
Hoover Ridge Large,Madison U15 Boys U15 Boys SCSL,Orange Fire 05/04 Boys U15 Boys SCSL,U15,Boys
Greene County Community Park (GCCP) Rear,FYSA U14 Boys U15 Boys SCSL,GFC United U14 Boys U15 Boys SCSL,U15,Boys
Booster Park #1,Orange Fire 05/04 Boys U15 Boys SCSL,GFC United U14 Boys U15 Boys SCSL,U15,Boys
Rockfish River ES,Madison U15 Boys U15 Boys SCSL,Nelson U15 Boys U15 Boys SCSL,U15,Boys
Zions Crossroads #1,FYSA U14 Boys U15 Boys SCSL,Orange Fire 05/04 Boys U15 Boys SCSL,U15,Boys
Greene County Community Park (GCCP) Rear,GFC United U14 Boys U15 Boys SCSL,Nelson U15 Boys U15 Boys SCSL,U15,Boys
