"Home","Away","Field"
"CSL Challengers U11 Boys TASL","Beach FC Thunder U11 Boys TASL","Churchland Park Field  1"
"Carolina Lightning U11 Boys TASL","WBSC Legends U11 Boys TASL","Albemarle School Field 1"
"AYSO Arsenal U11 Boys TASL","WBSC Arsenal U11 Boys TASL","AYSO Cornland Park Field 5"
"AYSO Arsenal U11 Boys TASL","CSL Avengers U11 Boys TASL","AYSO Cornland Park Field 5"
"WBSC Legends U11 Boys TASL","Beach FC Strikers U11 Boys TASL","Joliff Middle School Field 2"
"WBSC Arsenal U11 Boys TASL","Beach FC Thunder U11 Boys TASL","Joliff Middle School Field 2"
"WBSC Arsenal U11 Boys TASL","CSL Challengers U11 Boys TASL","Joliff Middle School Field 2"
"CSC Hawks U11 Boys TASL","AYSO Arsenal U11 Boys TASL","Centerville Complex Field 7A"
"WBSC Legends U11 Boys TASL","Beach FC Raptors U11 Boys TASL","Joliff Middle School Field 2"
"Beach FC Thunder U11 Boys TASL","WBSC Legends U11 Boys TASL","Lake Taylor Soccer Complex Field 10"
"Carolina Lightning U11 Boys TASL","Beach FC Raptors U11 Boys TASL","Albemarle School Field 1"
"CSL Avengers U11 Boys TASL","WBSC Arsenal U11 Boys TASL","Churchland Park Field  1"
"CSC Hawks U11 Boys TASL","Beach FC Thunder U11 Boys TASL","Centerville Complex Field 7A"
"Beach FC Strikers U11 Boys TASL","Beach FC Raptors U11 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"AYSO Arsenal U11 Boys TASL","Carolina Lightning U11 Boys TASL","AYSO Cornland Park Field 5"
"CSL Challengers U11 Boys TASL","CSC Hawks U11 Boys TASL","Churchland Park Field  1"
"Beach FC Raptors U11 Boys TASL","WBSC Arsenal U11 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"CSC Hawks U11 Boys TASL","WBSC Arsenal U11 Boys TASL","Centerville Complex Field 7A"
"Carolina Lightning U11 Boys TASL","CSL Avengers U11 Boys TASL","Albemarle School Field 1"
"AYSO Arsenal U11 Boys TASL","Beach FC Raptors U11 Boys TASL","AYSO Cornland Park Field 5"
"WBSC Legends U11 Boys TASL","CSC Hawks U11 Boys TASL","Joliff Middle School Field 2"
"WBSC Arsenal U11 Boys TASL","Beach FC Strikers U11 Boys TASL","Joliff Middle School Field 2"
"CSL Avengers U11 Boys TASL","WBSC Legends U11 Boys TASL","Churchland Park Field  1"
"Beach FC Raptors U11 Boys TASL","CSC Hawks U11 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"CSL Avengers U11 Boys TASL","Beach FC Strikers U11 Boys TASL","Churchland Park Field  1"
"CSC Hawks U11 Boys TASL","Carolina Lightning U11 Boys TASL","Centerville Complex Field 7A"
"Beach FC Raptors U11 Boys TASL","CSL Challengers U11 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"Beach FC Strikers U11 Boys TASL","Carolina Lightning U11 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"CSL Avengers U11 Boys TASL","Beach FC Thunder U11 Boys TASL","Churchland Park Field  1"
"CSL Challengers U11 Boys TASL","AYSO Arsenal U11 Boys TASL","Churchland Park Field  1"
"Beach FC Strikers U11 Boys TASL","CSC Hawks U11 Boys TASL","Hampton Roads Soccer Complex Field 13B"
"WBSC Arsenal U11 Boys TASL","WBSC Legends U11 Boys TASL","Joliff Middle School Field 2"
